nome,clube,clube_id,posicao,status_id,status_label,preco,min_valorizar,media,media_bayesiana,variacao,jogos,pb_media,resiliencia_pct,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z,score_confronto_100
Kaiki Bruno,CRU,283,Lateral,7,Provável,11.15,22.3,5.23,4.747,0.0,8,3.61,0.69,1.0,0.426,28,False,SAO,estavel,-0.668,armadilha_leve,,,,,,,,,,,0.0,50.0
Gustavo Henrique,SAN,277,Meia,7,Provável,2.78,7.8,1.5,2.427,1.0,3,1.5,1.0,0.375,0.327,102,False,FLA,alta,0.901,valor_bom,,,,,,,,,,,0.0,50.0
Luciano,SAO,276,Atacante,7,Provável,13.68,27.4,4.99,4.118,-1.29,8,2.37,0.475,1.0,0.301,83,True,CRU,baixa,-0.783,armadilha_leve,,,,,,,,,,,0.0,50.0
Barreal,SAN,277,Meia,7,Provável,10.23,20.5,4.06,3.417,-0.51,8,3.43,0.845,1.0,0.334,98,False,FLA,baixa,-0.298,neutro,,,,,,,,,,,0.0,50.0
Reinaldo,MIR,2305,Lateral,7,Provável,9.07,18.1,0.58,2.847,0.0,5,0.58,1.0,0.625,0.196,69,True,RBB,estavel,-1.462,armadilha_leve,,,,,,,,,,,0.0,50.0
Hulk,CAM,282,Atacante,7,Provável,12.83,25.7,5.44,4.408,0.5,9,2.88,0.529,1.0,0.344,72,True,CAP,estavel,-0.299,neutro,,,,,,,,,,,0.0,50.0
Yuri Alberto,COR,264,Atacante,7,Provável,11.68,23.4,3.1,3.19,-3.0,5,1.5,0.484,0.625,0.171,118,True,INT,baixa,-1.075,armadilha_leve,,,,,,,,,,,0.0,50.0
Enamorado,GRE,284,Atacante,7,Provável,7.47,17.2,3.44,3.343,0.33,8,2.81,0.817,1.0,0.448,39,True,REM,estavel,0.18,neutro,,,,,,,,,,,0.0,50.0
Bolasie,CHA,315,Atacante,7,Provável,3.91,10.9,1.18,2.282,-0.17,7,1.18,1.0,0.875,0.511,22,True,VIT,estavel,0.184,neutro,,,,,,,,,,,0.0,50.0
Kaio Jorge,CRU,283,Atacante,7,Provável,13.32,26.6,5.3,4.036,0.66,5,2.1,0.396,0.625,0.189,114,False,SAO,alta,-0.76,armadilha_leve,,,,,,,,,,,0.0,50.0
Pedro,FLA,262,Atacante,7,Provável,15.06,27.1,6.35,4.695,-1.59,7,2.64,0.416,0.875,0.273,92,True,SAN,baixa,-0.637,armadilha_leve,,,,,,,,,,,0.0,50.0
Johan Rojas,VAS,267,Meia,7,Provável,3.82,10.7,1.37,2.119,0.0,7,0.66,0.482,0.875,0.485,27,True,BOT,estavel,0.266,neutro,,,,,,,,,,,0.0,50.0
Saldivia,VAS,267,Zagueiro,7,Provável,5.07,11.7,2.13,2.682,-0.4,6,2.13,1.0,0.75,0.397,29,True,BOT,estavel,0.506,valor_bom,,,,,,,,,,,0.0,50.0
