atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_DS,scout_FC,scout_I,scout_FS,scout_SG,scout_CA,scout_FD,scout_FF,scout_PP,scout_G,scout_DE,scout_GS,scout_A,scout_GC,scout_PC,scout_FT,scout_V,scout_CV,scout_DP,scout_PS
100652,Yuri Alberto,264,COR,5,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
100742,Matheus Henrique,283,CRU,4,,,,,,,1.0,,,,,,,,,,,,,,,,
100804,Tchamba,364,REM,3,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
100842,Ruan,282,CAM,3,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
100848,Luan Cândido,287,VIT,2,,,,,,,,,,,,,,,,,,,,,,,
100898,Vitinho,263,BOT,2,,,,3.0,2.0,,2.0,,,,,,,,,,,,,,,,
100969,Ronald Lopes,287,VIT,4,,,,,3.0,,,,1.0,,,,,,,,,,,,,,
101002,Júnior Santos,263,BOT,5,,,,2.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,
101254,Alef Manga,364,REM,5,,,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
101290,Ferreira,276,SAO,5,,,,1.0,1.0,,2.0,,1.0,,1.0,,3.0,,,,,,,,,,
101314,Ademir,265,BAH,5,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
101319,Guga,266,FLU,2,,,,,1.0,,,,,,,,,,,,,,,,,,
101393,Eduardo Doma,315,CHA,3,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,
101405,Wallisson,294,CFC,4,,,,,,,,,,,,,,,,,,,,,,,
101574,Hugo Souza,264,COR,1,,,,,,,,,,,,,,2.0,1.0,,,,,,,,
101597,Ramon,287,VIT,2,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,
101708,Felipe Jonatan,294,CFC,2,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
101715,Alerrandro,285,INT,5,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
101727,Matheuzinho,264,COR,2,,,,2.0,,,,,,,,,,,,,,,,,,,
101729,Fabinho,294,CFC,5,,,,,,,,,,,,,,,,,,,,,,,
101807,Oliva,277,SAN,4,,,,1.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,
101820,Mayk,364,REM,2,,,,2.0,,,,1.0,,,,,,,,,,,,,,,
101960,Vitinho,285,INT,5,,,,1.0,3.0,,5.0,,1.0,,,,,,,1.0,,,,,,,
102256,Rollheiser,277,SAN,4,,,,,,,,,,,,,,,,,,,,,,,
102340,Cacá,287,VIT,3,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
102796,Julimar,293,CAP,5,,,,,,,,,,,2.0,,1.0,,,,,,,,,,
102975,Escobar,277,SAN,2,,,,3.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,
103056,Gabriel Brazão,277,SAN,1,,,,,,,,,,,,,,1.0,3.0,,,,,,,,
103295,Eric Ramires,280,RBB,4,,,,1.0,,,,,,,,,,,,,,,,,,,
103347,Matheus Alexandre,364,REM,2,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
103445,Kaio Jorge,283,CRU,5,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
103523,Ignácio,266,FLU,3,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
104027,Rafael Guanaes,2305,MIR,6,,,,,,,,,,,,,,,,,,,,,,,
104036,Labyad,264,COR,4,,,,,,,,,,,1.0,,,,,,,,,,,,
104075,Sabino,276,SAO,3,,,,,1.0,,,,,,,,,,,,,,,,,,
104084,Carlos Miguel,275,PAL,1,,,,,,,1.0,,,,,,,4.0,1.0,,,,,,,,
104118,Lucas Arcanjo,287,VIT,1,,,,,,,,,,,,,,5.0,1.0,,,,,,,,
104191,Raul,263,BOT,1,,,,,,,1.0,,1.0,,,,,5.0,1.0,,,,,,,,
104204,Edson Carioca,2305,MIR,5,,,,,1.0,,,,,,2.0,,,,,,,,,,,,
104470,Everton,315,CHA,2,,,,,,,,,1.0,,,,,,,,,,,,,,
104502,Christian,283,CRU,4,,,,2.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,,
104519,Camilo,315,CHA,4,,,,5.0,4.0,,,,,,,,,,,,,,,,,,
104666,Moisés,277,SAN,5,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
104693,Newton,263,BOT,4,,,,,,,,,,,,,,,,,,,,,,,
104758,Enzo Díaz,276,SAO,2,,,,4.0,2.0,,1.0,,,,,,,,,,,,,,,,
104783,Acevedo,265,BAH,4,,,,1.0,2.0,,2.0,,,1.0,,,,,,,,,,,,,
104811,Sebastián Gómez,294,CFC,4,,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
105048,Jajá,364,REM,5,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
105068,Reinier,282,CAM,4,,,,,2.0,,,,,,1.0,,,,,,,,,,,,
105089,Tetê,284,GRE,5,,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,
105157,Villagra,285,INT,4,,,,,,,2.0,,,1.0,,,,,,,,,,,,,
105175,Khellven,275,PAL,2,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,
