atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_CA,scout_DE,scout_FS,scout_GS,scout_PC,scout_SG,scout_V,scout_DS,scout_FC,scout_FD,scout_G,scout_I,scout_FF,scout_A,scout_PS,scout_GC,scout_CV,scout_FT,scout_PP,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label,time_pos,adv_pos,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,sequencia_time,forma_score_time,vantagem_mando,oportunidade_confronto,score_confronto,score_confronto_z,score_confronto_100,condicao_mando,pontos_esperados,caro_e_vale,recomendacao
51413,Walter,2305,MIR,1,Goleiro,7,6.3,1.24,3.05,21,10.2,True,3.0,67.0,2.0,30.0,1.0,2.0,,,,,0.0,,,0.0,,,,,,,False,RBB,0.215,,alta,10.2,2.57,0.843,1.0,3.417,-0.197,neutro,0.542,19,Provável,15.0,10.0,1.188,0.8,0.982,1.394,3.0,0.675,-28.2,0.55,0.4962,-0.165,47.5,neutro,4.14,False,TITULAR
106907,Rafael Lacerda,315,CHA,6,Técnico,7,8.35,0.13,5.14,9,5.12,True,,,,,,0.0,2.0,,,,0.0,,,0.0,,,,,,,False,VIT,0.203,,estavel,5.1,5.14,1.0,1.0,4.968,0.571,valor_bom,0.595,7,Provável,20.0,13.0,1.117,0.713,1.0,1.2,1.0,0.45,-50.0,0.25,0.3571,-1.377,29.3,desfavoravel,4.25,False,BANCO
97101,Gabriel Rojas,283,CRU,2,Lateral,7,6.0,-0.06,2.85,8,2.6,True,1.0,,8.0,,,1.0,,11.0,12.0,1.0,0.0,1.0,1.0,0.0,,,,,,,True,SAO,0.486,,estavel,2.6,2.48,0.87,1.0,3.257,-0.709,armadilha_leve,0.543,57,Provável,6.0,11.0,1.333,1.12,0.844,0.72,1.0,0.6,38.1,0.825,0.7459,1.67,75.0,neutro,3.15,False,WATCH
37715,Thiago Silva,266,FLU,3,Zagueiro,7,6.17,-0.66,2.82,4,2.0,True,1.0,,2.0,,,1.0,,3.0,2.0,,0.0,,3.0,0.0,,,,,,,True,CFC,0.623,,baixa,2.0,2.07,0.734,0.5,3.676,0.514,valor_bom,0.298,75,Provável,4.0,9.0,1.273,1.244,1.362,1.693,1.0,0.675,33.4,0.3,0.5413,0.162,52.4,neutro,3.86,False,WATCH
130307,Wallace,284,GRE,3,Zagueiro,7,6.52,1.45,4.15,7,10.6,True,2.0,,6.0,,,1.0,,11.0,10.0,,1.0,,2.0,0.0,,,,,,,False,REM,0.291,,alta,10.6,2.86,0.689,0.875,4.125,0.916,valor_bom,0.554,31,Provável,17.0,19.0,1.12,1.032,0.875,1.191,1.0,0.25,-23.8,0.825,0.5503,0.23,53.4,neutro,3.76,False,TITULAR
98617,Maripán,285,INT,3,Zagueiro,7,3.53,-0.5,1.76,9,-1.7,True,2.0,,4.0,,1.0,2.0,,5.0,14.0,1.0,0.0,1.0,3.0,0.0,,,,,,,True,COR,0.453,,estavel,1.8,1.09,0.619,1.0,1.615,-0.525,armadilha_leve,0.458,60,Provável,18.0,14.0,1.12,1.244,0.772,1.75,-1.0,0.3,-2.6,0.45,0.4893,-0.232,46.5,neutro,2.68,False,WATCH
114208,Alejo Véliz,265,BAH,5,Atacante,7,6.73,-0.46,5.46,9,1.5,True,,,14.0,,,0.0,,1.0,12.0,3.0,3.0,5.0,14.0,1.0,1.0,,,,,,False,PAL,0.18,,estavel,1.5,2.24,0.41,1.0,5.238,1.786,valor_oculto,0.778,2,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.05,0.3579,-1.404,28.9,desfavoravel,4.76,False,RESERVA_LUXO
123445,Dantas,293,CAP,3,Zagueiro,7,4.84,-0.26,2.52,5,0.9,True,1.0,,1.0,,,0.0,,6.0,7.0,1.0,0.0,,,1.0,,,,,,,True,CAM,0.463,,estavel,0.9,1.52,0.603,0.625,2.65,-0.082,neutro,0.342,73,Provável,3.0,7.0,1.563,2.1,0.9,0.844,2.0,0.6,40.5,0.7,0.6425,0.93,64.0,neutro,3.08,False,TITULAR
128177,Pedro Emanuel,267,VAS,6,Técnico,7,11.33,1.29,6.3,8,13.55,True,,,,,,0.0,3.0,,,,0.0,,,0.0,,,,,,,False,BOT,0.35,,alta,13.6,6.3,1.0,1.0,6.456,-0.03,neutro,0.57,10,Provável,16.0,12.0,1.747,0.922,0.546,0.996,2.0,0.7,-29.5,0.95,0.6658,1.639,74.6,neutro,4.76,False,TITULAR
98333,Gabriel Batista,263,BOT,1,Goleiro,7,5.72,-0.17,5.18,5,4.5,True,,23.0,,9.0,,1.0,,,,,0.0,,,0.0,,,,,,,True,VAS,0.373,,estavel,4.5,4.18,0.807,0.625,4.687,1.192,valor_bom,0.512,21,Provável,12.0,16.0,0.546,0.996,1.747,0.922,-1.0,0.425,29.5,0.575,0.5387,0.153,52.3,neutro,3.81,False,TITULAR
122121,Túlio Eduardo,315,CHA,5,Atacante,7,7.13,1.26,4.43,7,8.2,True,1.0,,3.0,,,0.0,,1.0,14.0,4.0,3.0,4.0,6.0,0.0,,,,,,,False,VIT,0.203,,alta,8.2,1.0,0.226,0.875,4.728,0.92,valor_bom,0.58,38,Provável,20.0,13.0,1.117,0.713,1.0,1.2,1.0,0.45,-50.0,0.25,0.3571,-1.411,28.8,desfavoravel,4.44,False,WATCH
103967,Bruno Santos,2305,MIR,5,Atacante,7,4.8,-1.77,4.12,9,1.5,True,,,9.0,,,0.0,,3.0,11.0,3.0,2.0,6.0,8.0,0.0,,,,2.0,,,False,RBB,0.215,,baixa,1.5,2.34,0.568,1.0,3.395,0.583,valor_bom,0.707,6,Provável,15.0,10.0,1.188,0.8,0.982,1.394,3.0,0.675,-28.2,0.45,0.4898,-0.161,47.6,neutro,3.18,False,TITULAR
124483,Lucas Monzón,263,BOT,3,Zagueiro,7,3.24,0.09,1.44,5,1.7,True,2.0,,3.0,,,1.0,,4.0,5.0,1.0,0.0,,,0.0,,1.0,,,,,True,VAS,0.373,,estavel,1.7,0.84,0.583,0.625,1.447,-0.514,armadilha_leve,0.279,78,Provável,12.0,16.0,0.546,0.996,1.747,0.922,-1.0,0.425,29.5,0.575,0.5387,0.142,52.1,neutro,2.67,False,WATCH
107093,Luciano Juba,265,BAH,2,Lateral,7,10.8,-0.85,7.04,24,3.5,True,3.0,,16.0,,,7.0,,29.0,16.0,7.0,9.0,,7.0,1.0,,,,1.0,1.0,,False,PAL,0.18,,baixa,3.5,3.71,0.527,1.0,6.569,1.278,valor_bom,0.608,31,Provável,5.0,2.0,1.433,1.12,0.834,0.533,-1.0,0.7,-24.5,0.125,0.3741,-1.156,32.7,desfavoravel,5.42,False,TITULAR
114801,Danilo Pereira,263,BOT,5,Atacante,7,5.06,-0.55,3.05,7,0.5,True,,,4.0,,,0.0,,3.0,4.0,6.0,0.0,2.0,5.0,1.0,,,,,,,True,VAS,0.373,,baixa,0.5,2.34,0.767,0.875,2.799,-0.367,neutro,0.484,79,Provável,12.0,16.0,0.546,0.996,1.747,0.922,-1.0,0.425,29.5,0.85,0.5236,0.157,52.4,neutro,2.88,False,TITULAR
114323,Colidio,267,VAS,5,Atacante,7,11.2,0.61,8.13,6,12.6,True,1.0,,15.0,,,0.0,,3.0,7.0,8.0,3.0,1.0,8.0,0.0,,,,,,,False,BOT,0.35,,alta,12.6,4.13,0.508,0.75,6.335,1.332,valor_bom,0.424,98,Provável,16.0,12.0,1.747,0.922,0.546,0.996,2.0,0.7,-29.5,0.95,0.667,1.508,72.6,favoravel_visitante,5.37,False,TITULAR
100596,Krovinovic,284,GRE,4,Meia,7,4.71,0.0,2.14,5,0.0,False,,,1.0,,,0.0,,4.0,6.0,1.0,0.0,,6.0,0.0,,,,,,,False,REM,0.291,,estavel,2.1,2.14,1.0,0.625,2.231,-0.443,neutro,0.296,156,Provável,17.0,19.0,1.12,1.032,0.875,1.191,1.0,0.25,-23.8,0.825,0.5198,0.272,54.1,neutro,3.05,False,TITULAR
77510,Fred,282,CAM,4,Meia,7,7.47,-0.5,3.0,4,4.1,True,1.0,,13.0,,,0.0,,3.0,8.0,1.0,0.0,,4.0,0.0,,,,,,,False,CAP,0.247,,estavel,4.1,3.0,1.0,0.5,3.729,0.048,neutro,0.25,164,Provável,7.0,3.0,0.9,0.844,1.563,2.1,2.0,0.6,-40.5,0.2,0.4125,-0.811,37.8,desfavoravel,3.69,False,WATCH
102255,Santiago Sosa,267,VAS,4,Meia,7,7.94,0.45,4.27,6,5.0,True,,,,,,0.0,,17.0,14.0,1.0,0.0,1.0,4.0,0.0,,,,,,,False,BOT,0.35,,estavel,5.0,4.27,1.0,0.75,4.169,0.434,neutro,0.394,137,Provável,16.0,12.0,1.747,0.922,0.546,0.996,2.0,0.7,-29.5,0.95,0.6658,1.745,76.2,favoravel_visitante,3.76,False,TITULAR
87747,Yago Felipe,315,CHA,4,Meia,7,8.64,0.48,5.65,6,5.4,True,2.0,,8.0,,,0.0,,17.0,14.0,4.0,0.0,,1.0,1.0,,,,,,,False,VIT,0.203,,estavel,5.4,4.82,0.853,0.75,4.76,0.94,valor_bom,0.413,128,Provável,20.0,13.0,1.117,0.713,1.0,1.2,1.0,0.45,-50.0,0.25,0.3571,-1.37,29.4,desfavoravel,4.4,False,TITULAR
86777,Danilo Barbosa,284,GRE,4,Meia,7,4.05,-0.56,0.8,4,1.0,True,,,4.0,,,0.0,,1.0,1.0,,0.0,,,0.0,,,,,,,False,REM,0.291,,baixa,1.0,0.8,1.0,0.5,1.792,-0.558,armadilha_leve,0.221,166,Provável,17.0,19.0,1.12,1.032,0.875,1.191,1.0,0.25,-23.8,0.825,0.5198,0.272,54.1,neutro,2.68,False,WATCH
73476,Marcão,266,FLU,6,Técnico,7,12.29,0.16,7.48,6,7.55,True,,,,,,0.0,4.0,,,,0.0,,,0.0,,,,,,,True,CFC,0.623,,estavel,7.5,7.48,1.0,0.75,6.984,-0.059,neutro,0.426,18,Provável,4.0,9.0,1.273,1.244,1.362,1.693,1.0,0.675,33.4,0.75,0.7567,2.527,87.9,neutro,5.74,False,TITULAR
86864,Marlon,364,REM,2,Lateral,7,6.25,0.53,4.13,6,5.5,True,1.0,,4.0,,,0.0,,15.0,5.0,1.0,0.0,,2.0,0.0,,,,,,,True,GRE,0.432,,alta,5.5,4.13,1.0,0.75,3.864,-0.091,neutro,0.464,77,Provável,19.0,17.0,0.875,1.191,1.12,1.032,-5.0,0.0,23.8,0.95,0.6612,1.026,65.4,neutro,4.05,False,TITULAR
124961,Castaño,282,CAM,4,Meia,7,4.16,-0.91,1.0,5,0.0,True,1.0,,,,,0.0,,4.0,4.0,1.0,0.0,,,0.0,,,,,,,False,CAP,0.247,,baixa,1.0,1.0,1.0,0.625,1.792,-0.642,armadilha_leve,0.269,160,Provável,7.0,3.0,0.9,0.844,1.563,2.1,2.0,0.6,-40.5,0.2,0.4125,-0.811,37.8,desfavoravel,2.66,False,WATCH
138941,Bruno Duarte,267,VAS,5,Atacante,7,10.12,2.73,8.3,3,15.7,True,,,1.0,,,0.0,,6.0,2.0,,1.0,,,1.0,,,,1.0,,,False,BOT,0.35,,alta,15.7,3.97,0.478,0.375,5.892,1.139,valor_bom,0.218,138,Provável,16.0,12.0,1.747,0.922,0.546,0.996,2.0,0.7,-29.5,0.95,0.667,1.508,72.6,favoravel_visitante,5.13,False,WATCH
73992,Rodinei,277,SAN,2,Lateral,7,6.02,-0.69,1.0,2,0.7,True,,,4.0,,,0.0,,1.0,5.0,,0.0,,,0.0,,,,,,,True,FLA,0.233,,baixa,0.7,1.0,1.0,0.25,3.131,-0.879,armadilha_leve,0.13,96,Provável,8.0,1.0,1.185,0.675,1.018,0.487,6.0,0.95,-11.9,0.0,0.3945,-1.001,35.0,neutro,3.29,False,WATCH
