atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_FD,scout_DS,scout_FC,scout_FS,scout_I,scout_SG,scout_FF,scout_CA,scout_CV,scout_DE,scout_GS,scout_V,scout_A,scout_G,scout_FT,scout_PC,scout_PS
100804,Tchamba,364,REM,3,,,,1.0,,,,,,,,,,,,,,,,
100898,Vitinho,263,BOT,2,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
101002,Júnior Santos,263,BOT,5,,,,,,2.0,,,,,,,,,,,,,,
101237,Eliasson,285,INT,5,,,,,,,,,,,,,,,,,,,,
101254,Alef Manga,364,REM,5,,,,,1.0,,1.0,,,,,,,,,,,,,
101290,Ferreira,276,SAO,5,,,,,,,1.0,,,,,,,,,,,,,
101352,Bruno Matias,315,CHA,4,,,,,,,,,,,,,,,,,,,,
101393,Eduardo Doma,315,CHA,3,,,,,2.0,,,,,,,,,,,,,,,
101405,Wallisson,2305,MIR,4,,,,,2.0,,1.0,,,,,,,,,,,,,
101729,Fabinho,294,CFC,5,,,,,,,,,,,,,,,,,,,,
101807,Oliva,277,SAN,4,,,,1.0,,1.0,2.0,,,,,,,,,,,,,
101908,Willian Machado,2305,MIR,3,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,
101960,Vitinho,285,INT,5,,,,,2.0,,1.0,,,1.0,,,,,,,,,,
102130,Piquerez,275,PAL,2,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,
102255,Santiago Sosa,267,VAS,4,,,,,3.0,1.0,,,,1.0,,,,,,,,,,
102877,Gabriel Poveda,364,REM,5,,,,,,1.0,1.0,,,,,1.0,,,,,,,,
102906,Anderson,315,CHA,1,,,,,,,1.0,,,,,,8.0,1.0,,,,,,
102911,Zé Ricardo,364,REM,4,,,,,2.0,,1.0,,,,,,,,,,,,,
102975,Escobar,277,SAN,2,,,,,4.0,1.0,,,,,1.0,,,,,,,,,
103767,Gabriel Menino,277,SAN,4,,,,1.0,,1.0,,,,,,,,,,,,,,
103967,Bruno Santos,2305,MIR,5,,,,,,1.0,2.0,,,1.0,,,,,,,,,,
104027,Rafael Guanaes,2305,MIR,6,,,,,,,,,,,,,,,1.0,,,,,
104075,Sabino,276,SAO,3,,,,,,1.0,,,1.0,,,,,,,,,,,
104084,Carlos Miguel,275,PAL,1,,,,,,,,,1.0,,,,4.0,,,,,,,
104204,Edson Carioca,2305,MIR,5,,,,1.0,3.0,2.0,,,,,,,,,,,,,,
104519,Camilo,315,CHA,4,,,,,,1.0,,,,,,,,,,,,,,
104811,Sebastián Gómez,294,CFC,4,,,,,1.0,1.0,,,,,,,,,,,,,,
105175,Khellven,275,PAL,2,,,,,,,,,1.0,,,,,,,,,,,
105300,Ferraresi,263,BOT,3,,,,,4.0,1.0,1.0,,,,,,,,,,,,,
105563,Carlos Vinícius,284,GRE,5,,,,1.0,,1.0,,,,,1.0,,,,,,,,,
105647,Maurício,275,PAL,4,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
106104,Enamorado,284,GRE,5,,,,,1.0,,4.0,,,,,,,,,,,,,
106147,Thiago Carpini,364,REM,6,,,,,,,,,,,,,,,,,,,,
106202,Bruno Gomes,285,INT,4,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,
106294,Marcos Antônio,276,SAO,4,,,,,,2.0,1.0,,,,,,,,,,,,,
106313,Domingos Duarte,276,SAO,3,,,,,,,,,1.0,1.0,,,,,,,,,,
106708,Igor Formiga,2305,MIR,2,,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,1.0,,,,
106907,Rafael Lacerda,315,CHA,6,,,,,,,,,,,,,,,,,,,,
106950,Fernando,315,CHA,2,,,,,,1.0,,,,,1.0,,,,,,,,,
107231,Danilo,263,BOT,4,,,,,,,,,,1.0,,,,,,,,,,
107554,Natanael,282,CAM,2,,,,2.0,6.0,1.0,,,,1.0,,,,,,,,,,
107989,Carbonero,285,INT,5,,,,,,,3.0,1.0,,,,,,,,,,,,
108131,Garcez,315,CHA,5,,,,,2.0,,2.0,,,2.0,,,,,,,,,,
108713,Galeano,364,REM,5,,,,1.0,2.0,2.0,,,,,,,,,,,,,,
109097,Jovane Cabral,284,GRE,5,,,,,,1.0,1.0,,,,,,,,,,,,,
109127,Tiago Cóser,294,CFC,3,,,,1.0,,,1.0,,,,,,,,,,,,,
109987,Medina,263,BOT,4,,,,1.0,3.0,,3.0,,,1.0,,,,,,,,,,
110426,Bernabei,285,INT,2,,,,,,4.0,,2.0,,,,,,,,,,,,
110506,Abel Ferreira,275,PAL,6,,,,,,,,,,,,,,,,,,,,
110510,Aguirre,285,INT,2,,,,,1.0,1.0,,,,1.0,,,,,,,,,,
110598,Marino Hinestroza,267,VAS,5,,,,,2.0,,1.0,,,3.0,,,,,,,,,,
111309,Gustavo Martins,284,GRE,3,,,,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,,,
111683,Anthoni,285,INT,1,,,,,,,,,,,,,,1.0,,,,,,
112576,Vini Paulista,294,CFC,4,,,,,,,,,,1.0,,,,,,,,,,
112863,Ramón Sosa,275,PAL,5,,,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,
113103,Flaco López,275,PAL,5,,,,2.0,1.0,4.0,4.0,,,1.0,,,,,,,,,,
113125,Picco,364,REM,4,,,,,2.0,3.0,,,,,,,,,,,,,,
113690,Diógenes,277,SAN,1,,,,,,,,,,,,,4.0,1.0,,,,,,
114040,Minda,282,CAM,5,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,
