atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_DS,scout_I,scout_CA,scout_DE,scout_FS,scout_GS,scout_PC,scout_SG,scout_FC,scout_A,scout_FD,scout_FF,scout_V,scout_G,scout_GC,scout_FT,scout_PP,scout_PS,scout_CV,scout_DP
145660,Luiz Felipe,285,INT,2,Lateral,6,1.65,0.0,1.45,2,0.0,False,2.0,1.0,,,,,,,,,,,,,,,,,,
51413,Walter,2305,MIR,1,Goleiro,7,5.88,1.37,2.75,19,7.8,True,,,3.0,61.0,2.0,29.0,1.0,1.0,,,,,,,,,,,,
147792,Koné,275,PAL,3,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
148092,Vitor Ramon,284,GRE,2,Lateral,6,1.0,0.0,0.2,1,0.0,False,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
150180,Ramon Rique,267,VAS,4,Meia,6,2.45,-0.48,2.14,5,-0.6,True,4.0,,,,,,,,5.0,1.0,1.0,,,,,,,,,
142868,Johnny,262,FLA,2,Lateral,6,0.89,0.0,0.0,1,0.0,False,,,,,,,,,,,,,,,,,,,,
150825,Breno,280,RBB,3,Zagueiro,6,2.8,0.0,3.35,2,0.0,False,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,
129665,Pablo,267,VAS,1,Goleiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
143253,Wendell,287,VIT,4,Meia,6,2.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
150757,Samuel Pierri,277,SAN,4,Meia,6,1.88,0.0,0.45,2,0.0,False,1.0,,,,,,,,2.0,,,,,,,,,,,
132750,João Pedro,277,SAN,1,Goleiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
143255,Kauan Vitor,287,VIT,2,Lateral,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
144898,Vitinho,293,CAP,2,Lateral,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
150826,Nícollas,264,COR,5,Atacante,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
147877,Cauan Farias,287,VIT,3,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
150952,Arthur Monteiro,293,CAP,2,Lateral,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
144255,João Alencar,277,SAN,3,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
131766,Filipinho,280,RBB,5,Atacante,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
141382,Gustavo Santana,276,SAO,5,Atacante,7,2.11,0.3,0.95,2,1.9,True,,,,,1.0,,,,2.0,,1.0,1.0,,,,,,,,
148126,Weimar Palacios,280,RBB,3,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
147544,Gabriel Menegon,284,GRE,1,Goleiro,6,1.81,0.0,0.0,1,0.0,False,,,,,,,,,,,,,,,,,,,,
145703,Kaio Nóbrega,262,FLA,4,Meia,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
150959,Davizinho,277,SAN,2,Lateral,6,1.07,0.26,0.5,3,1.5,True,1.0,,,,,,,,,,,,,,,,,,,
130279,Lukas Zuccarello,267,VAS,4,Meia,6,2.32,0.0,1.3,1,0.0,False,,,,,1.0,,,,,,,1.0,,,,,,,,
147736,Pepê Fermino,277,SAN,4,Meia,5,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
106907,Rafael Lacerda,315,CHA,6,Técnico,7,8.67,0.54,5.09,5,8.85,True,,,,,,,,,,,,,1.0,,,,,,,
141125,Robert,282,CAM,1,Goleiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
141536,Yuri Alves,280,RBB,4,Meia,6,1.49,0.08,1.0,3,1.0,True,1.0,,,,2.0,,,,1.0,,,1.0,,,,,,,,
37715,Thiago Silva,266,FLU,3,Zagueiro,7,6.83,-0.24,3.1,3,4.3,True,2.0,,1.0,,1.0,,,1.0,2.0,,,3.0,,,,,,,,
150995,Sayago,262,FLA,4,Meia,6,2.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
146663,Kauan Lima,275,PAL,1,Goleiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
144889,Victor Gabriel,275,PAL,4,Meia,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
145413,Rafael Coutinho,275,PAL,4,Meia,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
107203,Max,315,CHA,4,Meia,5,4.39,0.0,1.85,2,0.0,False,2.0,,,,1.0,,,,2.0,,,1.0,,,,,,,,
151003,Eduardo,275,PAL,5,Atacante,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
130307,Wallace,284,GRE,3,Zagueiro,7,4.81,-0.31,3.03,3,0.5,True,,,1.0,,4.0,,,,5.0,,,2.0,,1.0,,,,,,
98617,Maripán,285,INT,3,Zagueiro,7,5.3,1.18,2.85,6,7.7,True,4.0,,1.0,,4.0,,,2.0,9.0,,1.0,2.0,,,,,,,,
151120,Jorge Rivaldo,293,CAP,5,Atacante,6,3.86,0.0,-0.15,2,0.0,False,,,,,,,,,1.0,,,,,,,,,,,
97101,Gabriel Rojas,283,CRU,2,Lateral,7,6.83,0.0,3.85,4,0.0,False,7.0,,,,4.0,,,1.0,7.0,,,,,,,,,,,
94214,Léo Duarte,282,CAM,3,Zagueiro,5,5.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
114208,Alejo Véliz,265,BAH,5,Atacante,7,6.97,1.17,4.68,5,11.8,True,,4.0,,,7.0,,,,7.0,,,8.0,,2.0,,,,,,
108946,Victor Sá,276,SAO,5,Atacante,6,6.08,0.0,2.7,4,0.0,False,3.0,,,,2.0,,,,3.0,1.0,1.0,,,,,,,,,
141763,Fabiano Souza,287,VIT,2,Lateral,6,3.85,0.0,0.23,3,0.0,False,2.0,,1.0,,3.0,,,,2.0,,,1.0,,,1.0,,,,,
130443,Luciano,315,CHA,3,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,,,,,,,,,,,,,,,,,,,,
