aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,nome_casa,nome_visitante,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,prob_over_25,forca_casa,forca_vis,lambda_gols_casa,lambda_gols_vis,prob_btts_aprox
"['e', 'v', 'd', 'v', 'd']","['v', 'e', 'v', 'd', 'v']",Arena MRV,,,,2026-09-19 16:00:00,,,,346550,20,315,7,282,1789844400,26,True,fique por dentro,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/19-09-2026/atletico-mg-chapecoense.ghtml?utm_source=cartolafc,CAM,CHA,1.4,6.5,4.2,0.646,0.139,,favorito_forte,zebra,1.7,1.2,0.571
"['d', 'd', 'd', 'e', 'e']","['e', 'e', 'd', 'v', 'e']",Maião,,,,2026-09-19 17:00:00,,,,346549,14,263,15,2305,1789848000,26,True,,,MIR,BOT,2.32,3.17,3.38,0.414,0.303,0.495,equilibrado,zebra,1.4,1.0,0.476
"['v', 'e', 'v', 'v', 'v']","['e', 'd', 'd', 'd', 'd']",Mangueirão,,,,2026-09-19 18:30:00,,,,346554,10,277,19,364,1789853400,26,True,,,REM,SAN,2.75,2.6,3.4,0.349,0.369,0.497,zebra,zebra,0.9,1.9,0.505
"['e', 'v', 'v', 'd', 'e']","['d', 'd', 'v', 'd', 'v']",São Januário,,,,2026-09-19 20:30:00,,,,346546,8,294,17,267,1789860600,26,True,,,VAS,CFC,1.47,5.1,3.8,0.597,0.172,,favorito_forte,zebra,1.5,2.0,0.672
"['e', 'e', 'd', 'd', 'v']","['e', 'd', 'v', 'v', 'd']",Morumbis,,,,2026-09-19 21:00:00,,,,346547,18,285,11,276,1789862400,26,True,,,SAO,INT,1.99,3.92,3.51,0.482,0.245,0.456,favorito,zebra,1.3,1.2,0.508
"['d', 'v', 'e', 'e', 'v']","['d', 'd', 'v', 'd', 'd']",Arena do Grêmio,,,,2026-09-20 11:00:00,,,,346551,2,275,16,284,1789912800,26,True,,,GRE,PAL,3.57,2.12,3.46,0.269,0.453,0.481,zebra,equilibrado,0.9,1.7,0.485
"['v', 'v', 'e', 'v', 'd']","['d', 'd', 'd', 'd', 'd']",Neo Química Arena,,,,2026-09-20 16:00:00,,,,346548,5,266,13,264,1789930800,26,True,,,COR,FLU,2.17,3.73,3.19,0.442,0.257,0.389,equilibrado,zebra,1.3,1.9,0.619
"['v', 'v', 'd', 'v', 'd']","['v', 'd', 'd', 'v', 'e']",Barradão,,,,2026-09-20 16:00:00,,,,346553,6,283,12,287,1789930800,26,True,fique por dentro,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/20-09-2026/vitoria-cruzeiro.ghtml?utm_source=cartolafc,VIT,CRU,2.75,2.5,3.0,0.331,0.365,,zebra,zebra,1.3,1.5,0.565
"['e', 'v', 'd', 'd', 'e']","['d', 'v', 'v', 'v', 'v']",Maracanã,,,,2026-09-20 18:30:00,,,,346545,9,280,1,262,1789939800,26,True,,,FLA,RBB,1.39,7.0,4.6,0.666,0.132,0.571,favorito_forte,zebra,1.6,0.9,0.474
"['e', 'v', 'v', 'v', 'v']","['e', 'v', 'e', 'd', 'e']",Arena da Baixada,,,,2026-09-20 19:30:00,,,,346552,4,265,3,293,1789943400,26,True,,,CAP,BAH,2.14,3.46,3.5,0.448,0.277,0.505,equilibrado,zebra,1.9,2.5,0.781
