time,adversario,mandante,prob_vitoria,forca,adv_gc_pg,n_provaveis,n_valor_oculto,n_valor_bom,media_residuo_z,media_pb,preco_medio,concentracao_valor,momentum_of,momentum_def,sequencia,score_time,tier_time
CAP,BAH,True,0.443,equilibrado,1.4615384615384615,12,0,7,0.496,2.932,6.58,0.583,1.449,2.09,1.0,0.7,A
CAM,CHA,True,0.689,favorito_forte,1.7142857142857142,12,1,4,0.493,2.715,6.64,0.417,0.9,0.844,2.0,0.696,B
VAS,CFC,True,0.638,favorito_forte,1.4615384615384615,9,0,5,0.236,3.483,8.29,0.556,1.076,1.268,1.0,0.619,B
BAH,CAP,False,0.279,zebra,0.7692307692307693,9,2,4,0.786,3.157,7.53,0.667,1.671,1.309,11.0,0.599,B
MIR,BOT,True,0.466,equilibrado,1.7692307692307692,12,0,4,0.228,2.471,5.82,0.333,1.045,0.9,2.0,0.596,B
VIT,CRU,True,0.319,zebra,1.7692307692307692,10,2,3,0.617,3.246,7.43,0.5,1.0,0.831,2.0,0.592,B
SAN,REM,False,0.381,zebra,1.3076923076923077,12,0,5,0.269,3.027,7.15,0.417,1.333,0.533,5.0,0.536,C
CFC,VAS,False,0.149,zebra,1.3846153846153846,11,0,5,0.183,2.295,5.82,0.455,1.459,1.279,1.0,0.497,C
FLA,RBB,True,0.686,favorito_forte,1.1538461538461537,11,1,2,0.38,3.269,10.14,0.273,0.917,0.736,4.0,0.48,C
COR,FLU,True,0.442,equilibrado,1.6153846153846154,10,0,4,0.198,3.379,8.88,0.4,0.771,1.676,-5.0,0.447,C
PAL,GRE,False,0.508,favorito,1.2307692307692308,12,0,4,0.378,3.575,10.76,0.333,1.034,1.286,4.0,0.444,C
INT,SAO,False,0.217,zebra,0.8333333333333334,11,0,6,0.493,2.82,6.72,0.545,1.26,1.234,1.0,0.434,C
REM,SAN,True,0.329,zebra,1.75,12,0,3,-0.09,2.497,5.96,0.25,0.871,1.08,-4.0,0.421,C
SAO,INT,True,0.495,favorito,1.4615384615384615,11,0,2,0.016,3.061,8.52,0.182,0.839,0.867,-1.0,0.388,D
CHA,CAM,False,0.108,zebra,1.2307692307692308,12,0,5,0.15,2.412,5.48,0.417,1.117,0.713,1.0,0.368,D
BOT,MIR,False,0.268,zebra,1.5,12,1,3,0.177,2.905,7.58,0.333,0.79,1.13,3.0,0.362,D
FLU,COR,False,0.257,zebra,0.9285714285714286,12,1,1,0.114,3.036,7.83,0.167,1.317,1.389,-1.0,0.32,D
RBB,FLA,False,0.125,zebra,0.6923076923076923,11,0,6,0.537,2.823,6.64,0.545,0.975,1.255,1.0,0.314,D
CRU,VIT,False,0.385,equilibrado,0.6923076923076923,10,0,2,0.028,3.127,7.91,0.2,1.246,1.108,-1.0,0.306,D
GRE,PAL,True,0.23,zebra,0.8571428571428571,10,0,2,0.043,2.722,7.15,0.2,1.08,1.137,-3.0,0.25,D
