atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_SG,scout_DE,scout_DS
100848,Luan Cândido,VIT,Lateral,5.0,True,1.0,,
101290,Ferreira,SAO,Atacante,0.0,True,,,
101597,Ramon,VIT,Lateral,5.0,True,1.0,,
102340,Cacá,VIT,Zagueiro,5.0,True,1.0,,
103388,Emmanuel Martínez,VIT,Meia,0.0,True,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,
104118,Lucas Arcanjo,VIT,Goleiro,6.3,True,1.0,1.0,
104758,Enzo Díaz,SAO,Lateral,5.0,True,1.0,,
106294,Marcos Antônio,SAO,Meia,0.0,True,,,
107771,Fábio Matias,CHA,Técnico,0.0,False,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,
113157,Nathan Mendes,VIT,Lateral,5.0,True,1.0,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,
123360,Cauly,SAO,Meia,0.0,True,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,
131617,André Silva,SAO,Atacante,0.0,True,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,
41929,Renato Gaúcho,VAS,Técnico,0.0,False,,,
42411,Cuca,SAN,Técnico,0.0,False,,,
63008,Rafael Tolói,SAO,Zagueiro,5.0,True,1.0,,
68928,Rafael,SAO,Goleiro,5.0,True,1.0,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,
79437,Roger Machado,SAO,Técnico,2.41,True,,,
82775,Lucas Ramon,SAO,Lateral,5.0,True,1.0,,
85403,Danielzinho,SAO,Meia,1.5,True,,,1.0
88037,Luís Castro,GRE,Técnico,0.0,False,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,
90588,Caíque,VIT,Meia,0.0,True,,,
90703,Matheuzinho,VIT,Meia,0.0,True,,,
92180,Jair Ventura,VIT,Técnico,2.39,True,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,
92696,Renato Kayzer,VIT,Atacante,0.0,True,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,
95799,Artur,SAO,Atacante,0.0,True,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,
97810,Erick,VIT,Atacante,0.0,True,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,
99440,Baralhas,VIT,Meia,0.0,True,,,
99889,Alan Franco,SAO,Zagueiro,5.0,True,1.0,,
