atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados
78850,Reinaldo,MIR,Lateral,6,8.05,-0.67,0.62,7,-0.3,True,False,INT,-1.368,armadilha_leve,3.228,0.62,0.875,47.2,neutro,2.67
39148,Hulk,CAM,Atacante,7,11.64,-0.32,4.65,11,1.0,True,False,CFC,-0.027,neutro,4.718,2.56,1.0,45.5,neutro,4.29
100652,Yuri Alberto,COR,Atacante,7,11.52,0.1,2.89,7,3.7,True,False,VIT,-0.789,armadilha_leve,3.915,1.75,0.875,16.6,desfavoravel,1.14
141776,Gustavo Henrique,SAN,Meia,6,2.69,0.15,1.64,5,2.2,True,True,FLU,0.183,neutro,1.144,1.64,0.625,52.7,neutro,0.75
89368,Braithwaite,GRE,Atacante,6,8.69,-1.46,0.65,4,-0.3,True,False,CRU,-0.541,armadilha_leve,3.424,0.65,0.5,42.4,neutro,1.45
144423,Nicolas Pontes,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.924,valor_bom,0.0,0.0,0.0,74.1,favoravel,0.0
147297,William Fernando,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.924,valor_bom,0.0,0.0,0.0,74.1,favoravel,0.0
123649,Janderson,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.748,valor_bom,0.0,0.0,0.0,74.2,favoravel,0.0
142049,Bruno Alves,CRU,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,GRE,-0.498,neutro,0.0,0.0,0.0,74.2,neutro,0.0
80287,Luciano,SAO,Atacante,7,13.18,0.0,4.34,9,0.0,False,False,VAS,-0.508,armadilha_leve,4.562,2.01,1.0,51.9,neutro,4.74
86292,Bolasie,CHA,Atacante,7,3.2,-0.66,0.83,9,-2.0,True,True,BOT,-0.687,armadilha_leve,0.852,0.83,1.0,47.4,neutro,0.81
115025,Miguelito,SAN,Meia,6,4.04,0.0,1.9,4,0.0,False,True,FLU,0.04,neutro,1.898,1.9,0.5,52.7,neutro,1.0
103445,Kaio Jorge,CRU,Atacante,2,12.03,0.0,4.62,6,0.0,False,True,GRE,-0.103,neutro,4.729,1.95,0.75,67.9,neutro,4.82
126471,Barreal,SAN,Meia,7,9.96,0.0,3.64,9,0.0,False,True,FLU,-0.202,neutro,3.88,3.08,1.0,52.7,neutro,4.09
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,True,GRE,1.251,valor_bom,0.875,1.2,0.125,67.3,favoravel,0.15
94583,Pedro,FLA,Atacante,7,18.6,2.26,8.23,9,20.6,True,True,BAH,0.593,valor_bom,6.621,2.67,1.0,54.0,neutro,7.15
133673,Mateus Xavier,SAN,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,FLU,-0.566,armadilha_leve,0.0,0.0,0.0,52.2,neutro,0.0
128433,Johan Rojas,VAS,Meia,7,4.58,0.54,1.78,9,4.7,True,True,SAO,-0.35,neutro,1.835,1.22,1.0,43.3,neutro,1.59
147287,Kaiquy Luiz,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.748,valor_bom,0.0,0.0,0.0,74.2,favoravel,0.0
118655,Saldivia,VAS,Zagueiro,3,4.71,-0.7,2.01,8,-0.3,True,True,SAO,-0.059,neutro,2.212,2.01,1.0,56.7,neutro,2.51
106104,Enamorado,GRE,Atacante,7,7.78,0.44,3.7,10,5.9,True,False,CRU,0.496,neutro,4.194,3.2,1.0,42.4,neutro,3.56
142130,Marcelo Eráclito,CRU,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,GRE,0.713,valor_bom,0.0,0.0,0.0,74.5,favoravel,0.0
101908,Willian Machado,MIR,Zagueiro,6,4.4,0.0,2.06,7,0.0,False,False,INT,0.153,neutro,2.249,2.06,0.875,47.3,neutro,1.86
91639,Igor Cariús,MIR,Lateral,6,2.94,0.0,1.0,1,0.0,False,False,INT,0.538,valor_bom,2.051,1.0,0.125,47.2,neutro,0.24
114802,Vitor Roque,PAL,Atacante,6,17.99,0.0,8.72,6,0.0,False,True,CAP,0.552,valor_bom,6.487,4.72,0.75,73.4,favoravel,7.14
108713,Galeano,MIR,Atacante,6,5.54,0.0,1.74,7,0.0,False,False,INT,-0.896,armadilha_leve,1.923,1.74,0.875,31.4,desfavoravel,1.06
115986,Denilson,MIR,Meia,6,4.05,0.0,0.8,3,0.0,False,False,INT,-0.3,neutro,1.597,0.8,0.375,31.7,desfavoravel,0.38
112367,Thalisson Gabriel,REM,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,False,RBB,-1.383,armadilha_leve,0.0,0.0,0.0,44.9,neutro,0.0
78946,Dória,SAO,Zagueiro,6,6.45,0.0,0.0,1,0.0,False,False,VAS,0.494,neutro,3.465,0.0,0.125,46.7,neutro,0.4
131516,JP Chermont,CFC,Lateral,7,5.45,0.0,4.33,7,0.0,False,True,CAM,0.419,neutro,3.693,2.33,0.875,54.3,neutro,3.51
94514,Lucas Oliveira,MIR,Zagueiro,7,3.91,-0.33,0.95,2,0.5,True,False,INT,0.306,neutro,2.121,0.95,0.25,47.3,neutro,0.5
145400,Cauê,RBB,Lateral,6,4.87,0.0,5.25,2,0.0,False,True,REM,0.634,valor_bom,3.558,3.75,0.25,72.8,favoravel,1.3
126120,Marcelinho,RBB,Meia,6,3.71,0.0,4.75,2,0.0,False,True,REM,0.885,valor_bom,2.467,2.25,0.25,70.5,favoravel,0.87
81121,Lucas Mugni,MIR,Meia,6,7.0,0.0,0.0,0,0.0,False,False,INT,-3.521,armadilha_forte,0.0,0.0,0.0,31.7,desfavoravel,0.0
130280,Phillipe Gabriel,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.713,valor_bom,0.0,0.0,0.0,56.9,neutro,0.0
133696,Wallace Davi,BOT,Meia,6,4.0,0.0,0.0,0,0.0,False,False,CHA,-2.043,armadilha_forte,0.0,0.0,0.0,75.9,neutro,0.0
126182,Paulinho,INT,Meia,7,4.33,-0.66,2.57,10,0.0,True,True,MIR,0.279,neutro,2.271,2.57,1.0,76.8,favoravel,3.49
141139,Mateus Iseppe,CAM,Meia,6,2.0,0.0,0.0,0,0.0,False,False,CFC,-0.436,neutro,0.0,0.0,0.0,45.4,neutro,0.0
147090,Kauã Pascini,CAM,Lateral,6,2.85,0.0,5.0,1,0.0,False,False,CFC,1.102,valor_bom,2.495,2.0,0.125,62.8,neutro,0.39
132412,Román Gómez,BAH,Lateral,6,8.47,0.0,7.1,2,0.0,False,False,FLA,1.243,valor_bom,5.828,5.6,0.25,34.2,neutro,1.0
51413,Walter,MIR,Goleiro,7,6.13,0.56,3.25,9,5.8,True,False,INT,0.712,valor_bom,3.758,3.25,1.0,47.6,neutro,3.58
103183,Andrew,FLA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,True,BAH,-1.179,armadilha_leve,0.0,0.0,0.0,43.3,neutro,0.0
90061,Bruno Pacheco,CHA,Lateral,6,4.93,-0.22,0.73,3,1.5,True,True,BOT,-0.561,armadilha_leve,2.479,0.73,0.375,28.3,neutro,0.53
94154,Maycon,CAM,Meia,6,5.9,0.0,2.4,4,0.0,False,False,CFC,0.906,valor_bom,3.567,2.4,0.5,45.4,neutro,1.62
70666,Marllon,REM,Zagueiro,7,6.41,0.47,3.34,11,7.7,True,False,RBB,0.63,valor_bom,3.575,2.52,1.0,44.9,neutro,3.21
