atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100
147297,William Fernando,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,RBB,1.094,valor_bom,0.0,0.0,0.0,59.9
133673,Mateus Xavier,SAN,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,CAM,-0.569,armadilha_leve,0.0,0.0,0.0,43.7
115025,Miguelito,SAN,Meia,6,4.04,0.0,1.9,4,0.0,False,True,CAM,-0.011,neutro,1.858,1.9,0.5,43.4
144423,Nicolas Pontes,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,RBB,1.094,valor_bom,0.0,0.0,0.0,59.9
126471,Barreal,SAN,Meia,3,9.96,-0.27,3.64,9,0.3,True,True,CAM,-0.189,neutro,3.937,3.08,1.0,43.4
141776,Gustavo Henrique,SAN,Meia,7,2.54,-0.24,1.5,4,1.5,True,True,CAM,0.204,neutro,1.037,1.5,0.5,43.4
78850,Reinaldo,MIR,Lateral,7,8.72,-0.35,0.77,6,1.7,True,True,BAH,-1.322,armadilha_leve,3.595,0.77,0.75,29.6
100652,Yuri Alberto,COR,Atacante,7,11.42,-0.26,2.75,6,1.0,True,True,PAL,-0.701,armadilha_leve,3.899,1.42,0.75,30.9
80287,Luciano,SAO,Atacante,6,13.18,-0.5,4.34,9,-0.9,True,False,VIT,-0.447,neutro,4.538,2.01,1.0,33.2
39148,Hulk,CAM,Atacante,7,11.96,-0.87,5.02,10,1.2,True,False,SAN,0.156,neutro,4.905,2.72,1.0,48.9
89368,Braithwaite,GRE,Atacante,6,10.15,-0.81,0.97,3,1.5,True,False,INT,-0.571,armadilha_leve,3.727,0.97,0.375,45.4
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,True,RBB,1.223,valor_bom,0.849,1.2,0.125,44.2
128433,Johan Rojas,VAS,Meia,7,4.04,0.22,1.41,8,1.7,True,False,REM,-0.263,neutro,1.624,0.78,1.0,66.3
142049,Bruno Alves,CRU,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,RBB,-0.403,neutro,0.0,0.0,0.0,59.8
86292,Bolasie,CHA,Atacante,7,3.86,-0.05,1.18,8,1.2,True,False,CAP,-0.272,neutro,1.677,1.18,1.0,23.4
123649,Janderson,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,RBB,0.891,valor_bom,0.0,0.0,0.0,59.8
91639,Igor Cariús,MIR,Lateral,6,2.94,0.0,1.0,1,0.0,False,True,BAH,0.281,neutro,1.759,1.0,0.125,29.6
106104,Enamorado,GRE,Atacante,7,7.34,-0.13,3.45,9,3.5,True,False,INT,0.557,valor_bom,4.067,2.89,1.0,45.4
142130,Marcelo Eráclito,CRU,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,RBB,0.705,valor_bom,0.0,0.0,0.0,59.8
78946,Dória,SAO,Zagueiro,6,6.45,-0.55,0.0,1,0.0,True,False,VIT,0.55,valor_bom,3.563,0.0,0.125,49.6
103445,Kaio Jorge,CRU,Atacante,7,12.03,-1.29,4.62,6,1.2,True,True,RBB,-0.056,neutro,4.701,1.95,0.75,45.0
94583,Pedro,FLA,Atacante,7,16.34,1.28,6.68,8,9.0,True,False,FLU,0.146,neutro,5.721,2.43,1.0,40.4
147287,Kaiquy Luiz,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,RBB,0.891,valor_bom,0.0,0.0,0.0,59.8
118655,Saldivia,VAS,Zagueiro,7,5.41,0.34,2.34,7,3.6,True,False,REM,-0.201,neutro,2.425,2.34,0.875,44.8
114802,Vitor Roque,PAL,Atacante,6,17.99,0.0,8.72,6,0.0,False,False,COR,0.61,valor_bom,6.458,4.72,0.75,65.0
81121,Lucas Mugni,MIR,Meia,6,7.0,0.0,0.0,0,0.0,False,True,BAH,-3.45,armadilha_forte,0.0,0.0,0.0,23.3
112367,Thalisson Gabriel,REM,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,True,VAS,-1.321,armadilha_leve,0.0,0.0,0.0,41.9
131516,JP Chermont,CFC,Lateral,2,5.45,-0.01,4.33,7,0.9,True,False,BOT,0.376,neutro,3.708,2.33,0.875,37.0
108713,Galeano,MIR,Atacante,6,5.54,0.51,1.74,7,4.7,True,True,BAH,-0.803,armadilha_leve,1.972,1.74,0.875,24.1
126182,Paulinho,INT,Meia,7,4.99,0.56,2.86,9,4.2,True,True,GRE,0.012,neutro,2.379,2.86,1.0,72.9
101908,Willian Machado,MIR,Zagueiro,7,4.4,0.0,2.06,7,0.0,False,True,BAH,0.204,neutro,2.294,2.06,0.875,29.1
145400,Cauê,RBB,Lateral,6,4.87,0.0,5.25,2,0.0,False,False,CRU,0.61,valor_bom,3.581,3.75,0.25,51.4
133696,Wallace Davi,BOT,Meia,6,4.0,0.0,0.0,0,0.0,False,True,CFC,-1.988,armadilha_forte,0.0,0.0,0.0,50.0
130280,Phillipe Gabriel,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,REM,0.705,valor_bom,0.0,0.0,0.0,45.5
126120,Marcelinho,RBB,Meia,6,3.71,0.68,4.75,2,3.2,True,False,CRU,0.805,valor_bom,2.42,2.25,0.25,60.0
94514,Lucas Oliveira,MIR,Zagueiro,6,4.24,0.24,1.4,1,1.4,True,True,BAH,0.39,neutro,2.377,1.4,0.125,29.1
115986,Denilson,MIR,Meia,6,4.05,0.0,0.8,3,0.0,False,True,BAH,-0.344,neutro,1.555,0.8,0.375,23.3
147090,Kauã Pascini,CAM,Lateral,6,2.85,0.0,5.0,1,0.0,False,False,SAN,0.826,valor_bom,2.204,2.0,0.125,52.6
132412,Román Gómez,BAH,Lateral,6,8.47,0.0,7.1,2,0.0,False,False,MIR,1.235,valor_bom,5.991,5.6,0.25,71.6
141139,Mateus Iseppe,CAM,Meia,6,2.0,0.0,0.0,0,0.0,False,False,SAN,-0.398,neutro,0.0,0.0,0.0,48.9
146894,João Bom,CHA,Atacante,6,2.0,0.0,0.0,0,0.0,False,False,CAP,-0.569,armadilha_leve,0.0,0.0,0.0,23.4
90061,Bruno Pacheco,CHA,Lateral,2,5.15,-0.56,0.35,2,0.2,True,False,CAP,-0.574,armadilha_leve,2.601,0.35,0.25,27.3
70666,Marllon,REM,Zagueiro,7,5.94,1.08,2.9,10,6.2,True,True,VAS,-0.133,neutro,2.722,2.6,1.0,41.9
103183,Andrew,FLA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,FLU,-1.163,armadilha_leve,0.0,0.0,0.0,33.9
114040,Minda,CAM,Atacante,5,7.36,0.0,1.93,4,0.0,False,False,SAN,0.31,neutro,3.818,1.93,0.5,48.9
102909,Luan,SAO,Meia,6,3.01,0.0,0.5,3,0.0,False,False,VIT,-0.524,armadilha_leve,0.722,0.5,0.375,32.8
91251,Rodrigues,MIR,Zagueiro,6,4.11,0.0,2.0,1,0.0,False,True,BAH,-0.174,neutro,1.782,2.0,0.125,29.1
141131,Vitão,CAM,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,SAN,0.891,valor_bom,0.0,0.0,0.0,52.4
51413,Walter,MIR,Goleiro,7,5.57,0.44,2.93,8,2.9,True,True,BAH,0.818,valor_bom,3.53,2.93,1.0,30.5
70449,Gabriel,VIT,Goleiro,2,5.6,0.0,2.2,2,0.0,False,True,SAO,1.007,valor_bom,3.744,0.0,0.25,54.9
83433,Patrick,REM,Meia,7,4.87,1.33,2.13,7,7.3,True,True,VAS,-0.361,neutro,1.974,2.13,0.875,57.2
100342,Léo Andrade,REM,Zagueiro,6,4.79,0.0,2.95,4,0.0,False,True,VAS,0.366,neutro,2.649,2.95,0.5,41.9
141873,Jacaré,COR,Lateral,6,2.0,0.0,0.0,0,0.0,False,True,PAL,-0.47,neutro,0.0,0.0,0.0,26.0
116034,Victor Hugo,CAM,Meia,7,8.62,2.26,4.74,10,13.3,True,False,SAN,0.856,valor_bom,4.531,2.74,1.0,48.9
130048,Noriega,GRE,Zagueiro,7,7.42,0.0,5.0,7,0.0,False,False,INT,1.142,valor_bom,4.471,3.0,0.875,53.5
105089,Tetê,GRE,Atacante,6,10.08,0.55,3.98,8,4.5,True,False,INT,0.07,neutro,4.371,2.98,1.0,45.4
93988,Breno Lopes,CFC,Atacante,7,8.29,0.03,4.1,9,2.3,True,False,BOT,0.594,valor_bom,4.411,1.43,1.0,60.5
106302,Preciado,CAM,Lateral,6,7.95,0.0,4.58,6,0.0,False,False,SAN,0.67,valor_bom,5.228,3.58,0.75,52.6
69208,Gabriel Paulista,COR,Zagueiro,7,9.43,0.0,4.7,6,0.0,False,True,PAL,0.28,neutro,4.305,3.2,0.75,25.4
