atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_SG,scout_FF,scout_FC,scout_FS,scout_A,scout_G,scout_V,scout_DE,scout_GS,scout_FD
100898,Vitinho,BOT,Lateral,6.5,True,1.0,1.0,,,,,,,,,
101002,Júnior Santos,BOT,Atacante,0.0,True,,,,,,,,,,,
101393,Eduardo Doma,CHA,Zagueiro,1.5,True,1.0,,,,,,,,,,
103987,Higor Meritão,CHA,Meia,2.3,True,1.0,,1.0,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,
104075,Sabino,SAO,Zagueiro,5.0,True,,1.0,,,,,,,,,
104470,Everton,CHA,Lateral,0.0,True,,,,,,,,,,,
104758,Enzo Díaz,SAO,Lateral,6.7,True,1.0,1.0,,1.0,1.0,,,,,,
105300,Ferraresi,BOT,Zagueiro,5.0,True,,1.0,,,,,,,,,
107231,Danilo,BOT,Meia,5.0,True,,,,,,1.0,,,,,
107771,Fábio Matias,CHA,Técnico,0.59,True,,,,,,,,,,,
107873,Bobadilla,SAO,Meia,1.5,True,1.0,,,,,,,,,,
109987,Medina,BOT,Meia,0.0,True,,,,,,,,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,
111831,Matheus Martins,BOT,Atacante,9.5,True,1.0,,,,,,1.0,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,,,
116065,Cuiabano,VAS,Lateral,1.5,True,1.0,,,,,,,,,,
116706,Andrés Gómez,VAS,Atacante,2.8,True,1.0,,1.0,,1.0,,,,,,
117330,Robert Renan,VAS,Zagueiro,-0.3,True,,,,1.0,,,,,,,
122138,João Vitor,CHA,Meia,0.0,True,,,,,,,,,,,
122485,Barros,VAS,Meia,1.0,True,,,,,2.0,,,,,,
123625,Ítalo,CHA,Atacante,0.0,True,,,,,,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,
128433,Johan Rojas,VAS,Meia,0.0,True,,,,,,,,,,,
140438,David,CHA,Meia,1.5,True,1.0,,,,,,,,,,
141609,Lucca,SAO,Atacante,0.0,True,,,,,,,,,,,
149990,Franclim Carvalho,BOT,Técnico,6.27,True,,,,,,,,1.0,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,
41929,Renato Gaúcho,VAS,Técnico,0.61,True,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,
63289,Edenílson,BOT,Meia,9.2,True,1.0,,,1.0,,,1.0,,,,
68806,Neto,BOT,Goleiro,6.3,True,,1.0,,,,,,,1.0,,
68822,Rafael Santos,CHA,Goleiro,-2.0,True,,,,,,,,,,2.0,
68928,Rafael,SAO,Goleiro,5.0,True,,1.0,,,,,,,,,
71123,Thiago Mendes,VAS,Meia,0.0,True,,,,,,,,,,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,
72493,Alex Telles,BOT,Lateral,10.0,True,,1.0,,,,1.0,,,,,
77656,Cédric Soares,SAO,Lateral,5.0,True,,1.0,,,,,,,,,
79437,Roger Machado,SAO,Técnico,4.32,True,,,,,,,,1.0,,,
80287,Luciano,SAO,Atacante,7.4,True,,,,2.0,,,1.0,,,,
85403,Danielzinho,SAO,Meia,0.0,True,,,,,,,,,,,
86292,Bolasie,CHA,Atacante,0.0,True,,,,,,,,,,,
86686,Tchê Tchê,VAS,Meia,-0.3,True,,,,1.0,,,,,,,
87008,Léo Jardim,VAS,Goleiro,0.3,True,,,,,,,,,1.0,1.0,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,
88717,Celso Rodrigues,CHA,Técnico,0.59,True,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,
89840,Calleri,SAO,Atacante,1.2,True,,,,,,,,,,,1.0
90061,Bruno Pacheco,CHA,Lateral,2.0,True,1.0,,,,1.0,,,,,,
90309,David,VAS,Atacante,0.0,True,,,,,,,,,,,
92171,Arthur Cabral,BOT,Atacante,0.0,True,,,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,
93716,Paulo Henrique,VAS,Lateral,1.7,True,1.0,,,1.0,1.0,,,,,,
95332,Marcinho,CHA,Atacante,1.2,True,,,,,,,,,,,1.0
95620,Bruno Leonardo,CHA,Zagueiro,0.0,True,,,,,,,,,,,
95799,Artur,SAO,Atacante,0.0,True,,,,,,,,,,,
97095,Carlos Cuesta,VAS,Zagueiro,0.0,True,,,,,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,
99274,Alexander Barboza,BOT,Zagueiro,6.5,True,1.0,1.0,,,,,,,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,
99889,Alan Franco,SAO,Zagueiro,4.7,True,,1.0,,1.0,,,,,,,
