atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FF,scout_SG,scout_DS,scout_FC,scout_FS,scout_I,scout_G,scout_FD,scout_CA,scout_PC,scout_PS,scout_V,scout_DE,scout_GS
100804,Tchamba,REM,Zagueiro,5.8,True,1.0,1.0,,,,,,,,,,,,
100898,Vitinho,BOT,Lateral,6.5,True,,1.0,1.0,,,,,,,,,,,
101002,Júnior Santos,BOT,Atacante,0.1,True,,,,1.0,1.0,1.0,,,,,,,,
101715,Alerrandro,INT,Atacante,-0.1,True,,,,,,1.0,,,,,,,,
101807,Oliva,SAN,Meia,1.7,True,,,1.0,1.0,1.0,,,,,,,,,
101820,Mayk,REM,Lateral,5.0,True,,1.0,,,,,,,,,,,,
101960,Vitinho,INT,Atacante,0.0,True,,,,,,,,,,,,,,
102256,Rollheiser,SAN,Meia,7.7,True,,,,1.0,,,1.0,,,,,,,
102877,Gabriel Poveda,REM,Atacante,0.0,True,,,,,,,,,,,,,,
102911,Zé Ricardo,REM,Meia,-0.4,True,,,,3.0,1.0,,,,,,,,,
102975,Escobar,SAN,Lateral,5.0,True,,1.0,,,,,,,,,,,,
103445,Kaio Jorge,CRU,Atacante,0.0,True,,,,,,,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,,,,
104502,Christian,CRU,Meia,0.2,True,1.0,,,2.0,,,,,,,,,,
104783,Acevedo,BAH,Meia,0.0,True,,,,,,,,,,,,,,
105047,João Marcelo,CRU,Zagueiro,4.7,True,,1.0,,1.0,,,,,,,,,,
105048,Jajá,REM,Atacante,1.0,True,,,,,2.0,,,,,,,,,
105157,Villagra,INT,Meia,0.0,True,,,,,,,,,,,,,,
105300,Ferraresi,BOT,Zagueiro,5.5,True,,1.0,,,1.0,,,,,,,,,
105373,Gabriel Xavier,BAH,Zagueiro,0.0,True,,,,,,,,,,,,,,
105990,Santiago Mingo,BAH,Zagueiro,0.0,True,,,,,,,,,,,,,,
106202,Bruno Gomes,INT,Meia,-0.3,True,,,,1.0,,,,,,,,,,
106323,Caio Alexandre,BAH,Meia,0.5,True,,,,,1.0,,,,,,,,,
107093,Luciano Juba,BAH,Lateral,0.0,True,,,,,,,,,,,,,,
107173,Michel Araújo,BAH,Meia,-0.3,True,,,,1.0,,,,,,,,,,
107231,Danilo,BOT,Meia,6.0,True,,,4.0,,,,,,,,,,,
107771,Fábio Matias,CHA,Técnico,0.0,False,,,,,,,,,,,,,,
107989,Carbonero,INT,Atacante,1.2,True,,,,,,,,1.0,,,,,,
109401,Erick Pulga,BAH,Atacante,-1.5,True,,,,,1.0,,,,1.0,1.0,,,,
109987,Medina,BOT,Meia,0.8,True,1.0,,,,,,,,,,,,,
110426,Bernabei,INT,Lateral,5.0,True,,1.0,,,,,,,,,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,,
111466,Victor Gabriel,INT,Zagueiro,4.7,True,,1.0,,1.0,,,,,,,,,,
111683,Anthoni,INT,Goleiro,5.0,True,,1.0,,,,,,,,,,,,
111690,Matheus Cunha,CRU,Goleiro,5.0,True,,1.0,,,,,,,,,,,,
111831,Matheus Martins,BOT,Atacante,0.0,True,,,,,,,,,,,,,,
112709,Kaiki Bruno,CRU,Lateral,6.7,True,,1.0,1.0,1.0,1.0,,,,,,,,,
113397,Cristian Olivera,BAH,Atacante,0.0,True,,,,,,,,,,,,,,
113690,Diógenes,SAN,Goleiro,5.0,True,,1.0,,,,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,2.09,True,,,,,,,,,,,,,,
124270,Allex,INT,Meia,0.5,True,,,,,1.0,,,,,,,,,
124912,Jonathan Jesus,CRU,Zagueiro,5.0,True,,1.0,,,,,,,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,3.15,True,,,,,,,,,,,,,,
132264,Arroyo,CRU,Atacante,0.0,True,,,,,,,,,,,,,,
141754,Gabriel Bontempo,SAN,Meia,1.0,True,,,,,,,,,,,1.0,,,
143600,Kauã Moraes,CRU,Lateral,7.0,True,,1.0,1.0,,1.0,,,,,,,,,
145563,João Ananias,SAN,Zagueiro,5.0,True,,1.0,,,,,,,,,,,,
149990,Franclim Carvalho,BOT,Técnico,3.21,True,,,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,2.91,True,,,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,,
41929,Renato Gaúcho,VAS,Técnico,0.0,False,,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,4.45,True,,,,,,,,,,,,1.0,,
63289,Edenílson,BOT,Meia,0.0,True,,,,,,,,,,,,,,
68806,Neto,BOT,Goleiro,6.3,True,,1.0,,,,,,,,,,,1.0,
68996,Willian José,BAH,Atacante,0.5,True,1.0,,,1.0,,,,,,,,,,
70666,Marllon,REM,Zagueiro,6.5,True,,1.0,1.0,,,,,,,,,,,
70944,Bruno Henrique,INT,Meia,1.5,True,,,1.0,,,,,,,,,,,
71043,Léo Vieira,BAH,Goleiro,0.3,True,,,,,,,,,,,,,1.0,1.0
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,,
