atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,True,CAM,1.466,valor_bom,1.09,1.2,0.125,64.5,favoravel,0.18,0.375,42.8,1.376,0.619,1.114,1.095,0.85,0.477
115025,Miguelito,SAN,Meia,6,3.42,-0.62,1.5,5,-0.1,True,False,PAL,-0.371,neutro,1.239,1.5,0.625,34.3,desfavoravel,0.53,0.225,-83.3,1.156,0.99,0.678,0.52,0.45,0.269
100652,Yuri Alberto,COR,Atacante,7,10.45,-0.39,2.49,9,1.0,True,False,MIR,-1.059,armadilha_leve,3.576,1.6,1.0,54.1,neutro,3.87,0.85,11.1,0.578,0.945,0.923,1.067,0.525,0.279
80287,Luciano,SAO,Atacante,7,15.0,0.67,5.35,11,11.8,True,True,BAH,-0.511,armadilha_leve,5.117,1.99,1.0,54.7,neutro,5.6,0.45,16.6,1.071,1.418,1.129,1.2,0.5,0.446
39148,Hulk,CAM,Atacante,6,11.8,0.0,4.55,12,0.0,False,False,CRU,-0.29,neutro,4.649,2.63,1.0,41.1,neutro,3.82,0.525,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
89368,Braithwaite,GRE,Atacante,7,7.12,-0.62,0.52,6,-0.3,True,False,CAP,-0.605,armadilha_leve,2.964,0.52,0.75,30.1,desfavoravel,1.34,0.3,-76.2,0.347,0.65,0.78,1.213,0.475,0.459
133673,Mateus Xavier,SAN,Atacante,6,2.0,0.0,0.0,0,0.0,False,False,PAL,-0.535,armadilha_leve,0.0,0.0,0.0,34.0,desfavoravel,0.0,0.225,-83.3,1.156,0.99,0.678,0.52,0.45,0.269
78850,Reinaldo,MIR,Lateral,7,8.15,0.4,0.9,9,3.8,True,True,COR,-1.695,armadilha_forte,3.044,0.9,1.0,56.9,neutro,3.46,0.8,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
142049,Bruno Alves,CRU,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,True,CAM,-0.581,armadilha_leve,0.0,0.0,0.0,69.1,neutro,0.0,0.675,42.8,1.376,0.619,1.114,1.095,0.85,0.477
141776,Gustavo Henrique,SAN,Meia,6,2.56,0.0,1.57,6,0.0,False,False,PAL,0.392,neutro,1.288,1.57,0.75,34.3,desfavoravel,0.66,0.225,-83.3,1.156,0.99,0.678,0.52,0.45,0.269
147297,William Fernando,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,CAM,0.906,valor_bom,0.0,0.0,0.0,68.5,favoravel,0.0,0.675,42.8,1.376,0.619,1.114,1.095,0.85,0.477
103445,Kaio Jorge,CRU,Atacante,7,10.92,-0.84,3.69,8,-0.3,True,True,CAM,-0.487,neutro,4.244,1.69,1.0,64.0,neutro,5.43,0.375,42.8,1.376,0.619,1.114,1.095,0.85,0.477
144423,Nicolas Pontes,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,CAM,0.906,valor_bom,0.0,0.0,0.0,68.5,favoravel,0.0,0.675,42.8,1.376,0.619,1.114,1.095,0.85,0.477
86292,Bolasie,CHA,Atacante,6,4.25,0.0,1.25,10,0.0,False,True,RBB,-0.653,armadilha_leve,1.591,0.75,1.0,30.2,neutro,0.96,0.3,-5.6,0.436,1.252,1.56,0.867,0.075,0.277
78946,Dória,SAO,Zagueiro,6,7.22,0.77,2.5,2,5.0,True,True,BAH,0.323,neutro,3.633,1.0,0.25,46.8,neutro,0.85,0.35,16.6,1.071,1.418,1.129,1.2,0.5,0.446
147287,Kaiquy Luiz,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,CAM,0.674,valor_bom,0.0,0.0,0.0,69.1,favoravel,0.0,0.675,42.8,1.376,0.619,1.114,1.095,0.85,0.477
114802,Vitor Roque,PAL,Atacante,5,17.01,0.0,7.6,7,0.0,False,True,SAN,0.146,neutro,6.105,4.17,0.875,70.7,favoravel,7.55,0.9,83.3,0.678,0.52,1.156,0.99,0.9,0.613
142130,Marcelo Eráclito,CRU,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,CAM,0.666,valor_bom,0.0,0.0,0.0,69.6,favoravel,0.0,0.675,42.8,1.376,0.619,1.114,1.095,0.85,0.477
94583,Pedro,FLA,Atacante,7,18.25,1.27,8.87,11,15.6,True,True,VAS,1.034,valor_bom,7.155,2.42,1.0,71.6,favoravel,10.25,0.725,70.0,1.1,1.2,0.722,0.821,0.9,0.625
123649,Janderson,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,CAM,0.674,valor_bom,0.0,0.0,0.0,69.1,favoravel,0.0,0.675,42.8,1.376,0.619,1.114,1.095,0.85,0.477
106104,Enamorado,GRE,Atacante,7,8.0,0.09,4.09,12,6.1,True,False,CAP,0.544,valor_bom,4.373,3.26,1.0,30.1,desfavoravel,2.63,0.3,-76.2,0.347,0.65,0.78,1.213,0.475,0.459
128433,Johan Rojas,VAS,Meia,7,4.15,0.04,1.75,11,1.9,True,False,FLA,-0.236,neutro,1.793,1.3,1.0,29.1,desfavoravel,1.04,0.1,-70.0,0.722,0.821,1.1,1.2,0.4,0.256
112367,Thalisson Gabriel,REM,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,False,BOT,-1.471,armadilha_leve,0.0,0.0,0.0,25.8,desfavoravel,0.0,0.025,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
81121,Lucas Mugni,MIR,Meia,6,7.0,0.0,0.0,0,0.0,False,True,COR,-3.726,armadilha_forte,0.0,0.0,0.0,34.2,neutro,0.0,0.05,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
118655,Saldivia,VAS,Zagueiro,7,5.08,0.37,2.1,9,2.8,True,False,FLA,-0.276,neutro,2.249,2.1,1.0,27.5,desfavoravel,1.24,0.025,-70.0,0.722,0.821,1.1,1.2,0.4,0.256
101908,Willian Machado,MIR,Zagueiro,7,5.15,-0.18,2.79,9,4.2,True,True,COR,0.093,neutro,2.614,2.79,1.0,57.6,neutro,3.01,0.8,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
126182,Paulinho,INT,Meia,6,4.3,-0.41,2.42,12,0.5,True,True,FLU,0.129,neutro,2.193,2.42,1.0,50.2,neutro,2.2,0.525,-20.6,1.083,0.929,1.064,1.04,0.45,0.419
91639,Igor Cariús,MIR,Lateral,6,2.94,0.0,1.0,1,0.0,False,True,COR,0.064,neutro,1.647,1.0,0.125,56.9,neutro,0.23,0.8,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
115986,Denilson,MIR,Meia,7,3.57,-0.72,1.06,5,0.2,True,True,COR,-0.127,neutro,1.547,1.06,0.625,34.2,neutro,0.66,0.05,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
126120,Marcelinho,RBB,Meia,6,3.11,0.0,2.93,3,0.0,False,False,CHA,0.259,neutro,1.582,1.26,0.375,74.9,favoravel_visitante,0.89,1.0,5.6,1.56,0.867,0.436,1.252,0.5,
133696,Wallace Davi,BOT,Meia,6,4.0,0.0,0.0,0,0.0,False,True,REM,-2.192,armadilha_forte,0.0,0.0,0.0,75.8,neutro,0.0,0.825,43.8,1.3,0.8,0.6,0.904,0.75,0.604
130280,Phillipe Gabriel,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,FLA,0.666,valor_bom,0.0,0.0,0.0,27.4,desfavoravel,0.0,0.025,-70.0,0.722,0.821,1.1,1.2,0.4,0.256
132412,Román Gómez,BAH,Lateral,6,8.47,0.0,7.1,2,0.0,False,False,SAO,1.179,valor_bom,5.785,5.6,0.25,37.6,desfavoravel,1.09,0.225,-16.6,1.129,1.2,1.071,1.418,0.45,0.291
145400,Cauê,RBB,Lateral,7,4.87,0.0,5.25,2,0.0,False,False,CHA,0.843,valor_bom,3.776,3.75,0.25,61.0,neutro,1.15,0.625,5.6,1.56,0.867,0.436,1.252,0.5,
94514,Lucas Oliveira,MIR,Zagueiro,7,5.11,-1.5,3.6,4,0.5,True,True,COR,0.331,neutro,2.811,2.1,0.5,57.6,neutro,1.62,0.8,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
108713,Galeano,MIR,Atacante,6,5.54,0.0,1.74,7,0.0,False,True,COR,-1.042,armadilha_leve,1.888,1.74,0.875,34.4,neutro,1.14,0.05,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
131516,JP Chermont,CFC,Lateral,6,5.1,-0.35,3.79,8,0.0,True,False,VIT,0.497,neutro,3.598,2.04,1.0,52.2,neutro,3.76,0.725,-19.8,1.04,1.0,0.8,0.988,0.475,0.312
146894,João Bom,CHA,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,RBB,-0.535,armadilha_leve,0.0,0.0,0.0,30.2,neutro,0.0,0.3,-5.6,0.436,1.252,1.56,0.867,0.075,0.277
94154,Maycon,CAM,Meia,6,4.97,-0.51,1.72,6,-0.3,True,False,CRU,-0.715,armadilha_leve,1.796,1.72,0.75,41.6,neutro,1.12,0.525,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
90061,Bruno Pacheco,CHA,Lateral,7,5.86,0.0,2.22,4,0.0,False,True,RBB,-0.606,armadilha_leve,3.011,2.22,0.5,45.2,neutro,1.36,0.8,-5.6,0.436,1.252,1.56,0.867,0.075,0.277
102909,Luan,SAO,Meia,6,3.24,0.23,0.95,4,2.3,True,True,BAH,-0.47,neutro,1.034,0.95,0.5,55.2,neutro,0.57,0.45,16.6,1.071,1.418,1.129,1.2,0.5,0.446
93988,Breno Lopes,CFC,Atacante,3,8.91,-0.49,4.82,12,4.0,True,False,VIT,0.695,valor_bom,4.811,1.49,1.0,35.4,desfavoravel,3.41,0.05,-19.8,1.04,1.0,0.8,0.988,0.475,0.312
130048,Noriega,GRE,Zagueiro,6,8.58,1.3,5.01,10,8.5,True,False,CAP,0.836,valor_bom,4.524,3.01,1.0,32.9,desfavoravel,2.98,0.15,-76.2,0.347,0.65,0.78,1.213,0.475,0.459
141131,Vitão,CAM,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,CRU,0.674,valor_bom,0.0,0.0,0.0,33.5,desfavoravel,0.0,0.325,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
91251,Rodrigues,MIR,Zagueiro,6,4.11,0.0,2.0,1,0.0,False,True,COR,0.396,neutro,2.37,2.0,0.125,57.6,neutro,0.34,0.8,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
114040,Minda,CAM,Atacante,6,7.12,-0.24,2.44,5,4.5,True,False,CRU,0.367,neutro,3.891,2.44,0.625,41.1,neutro,2.0,0.525,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
51413,Walter,MIR,Goleiro,7,5.21,-1.09,3.09,11,-1.0,True,True,COR,0.836,valor_bom,3.563,3.09,1.0,57.9,neutro,4.13,0.8,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
103183,Andrew,FLA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,True,VAS,-1.232,armadilha_leve,0.0,0.0,0.0,61.6,neutro,0.0,0.35,70.0,1.1,1.2,0.722,0.821,0.9,0.625
106302,Preciado,CAM,Lateral,6,7.2,0.0,4.0,7,0.0,False,False,CRU,0.635,valor_bom,4.777,3.14,0.875,32.5,desfavoravel,2.72,0.325,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
70666,Marllon,REM,Zagueiro,7,6.1,0.45,3.37,13,5.0,True,False,BOT,0.715,valor_bom,3.578,2.68,1.0,25.8,desfavoravel,1.85,0.025,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
116034,Victor Hugo,CAM,Meia,7,7.04,-0.23,4.19,13,2.5,True,False,CRU,1.044,valor_bom,4.181,2.65,1.0,41.6,neutro,3.48,0.525,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
147090,Kauã Pascini,CAM,Lateral,6,2.91,0.06,3.25,2,1.5,True,False,CRU,0.516,valor_bom,2.032,1.75,0.25,32.5,desfavoravel,0.33,0.325,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
141139,Mateus Iseppe,CAM,Meia,6,2.0,0.0,0.0,0,0.0,False,False,CRU,-0.524,armadilha_leve,0.0,0.0,0.0,41.6,neutro,0.0,0.525,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
141614,Paulinho,SAO,Atacante,5,2.0,0.0,0.0,0,0.0,False,True,BAH,-0.535,armadilha_leve,0.0,0.0,0.0,54.7,neutro,0.0,0.45,16.6,1.071,1.418,1.129,1.2,0.5,0.446
106708,Igor Formiga,MIR,Lateral,7,7.27,-0.49,4.51,11,1.1,True,True,COR,0.746,valor_bom,4.908,3.42,1.0,56.9,neutro,5.59,0.8,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
83433,Patrick,REM,Meia,7,4.19,0.2,2.08,10,2.0,True,False,BOT,-0.048,neutro,1.979,2.08,1.0,48.1,neutro,1.9,0.95,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
105089,Tetê,GRE,Atacante,6,9.67,0.0,3.86,11,3.9,True,False,CAP,-0.123,neutro,4.255,3.13,1.0,30.1,desfavoravel,2.56,0.3,-76.2,0.347,0.65,0.78,1.213,0.475,0.459
89256,Gerson,CRU,Meia,6,9.39,-0.32,4.11,12,8.2,True,True,CAM,0.152,neutro,4.133,3.69,1.0,64.5,favoravel,5.33,0.375,42.8,1.376,0.619,1.114,1.095,0.85,0.477
70449,Gabriel,VIT,Goleiro,6,5.6,0.0,2.2,2,0.0,False,True,CFC,0.896,valor_bom,3.811,0.0,0.25,45.4,neutro,0.87,0.175,19.8,0.8,0.988,1.04,1.0,0.4,0.442
100342,Léo Andrade,REM,Zagueiro,6,4.79,0.0,2.95,4,0.0,False,False,BOT,0.257,neutro,2.594,2.95,0.5,25.8,desfavoravel,0.67,0.025,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
123689,Milans,COR,Lateral,6,8.96,0.0,6.03,3,0.0,False,False,MIR,0.793,valor_bom,5.613,4.03,0.375,57.8,neutro,2.43,0.8,11.1,0.578,0.945,0.923,1.067,0.525,0.279
69208,Gabriel Paulista,COR,Zagueiro,7,10.7,0.27,5.77,9,8.0,True,False,MIR,0.632,valor_bom,4.898,3.77,1.0,58.5,neutro,5.73,0.8,11.1,0.578,0.945,0.923,1.067,0.525,0.279
105157,Villagra,INT,Meia,7,6.11,-0.21,2.56,8,3.5,True,True,FLU,0.51,valor_bom,3.364,2.56,1.0,50.2,neutro,3.38,0.525,-20.6,1.083,0.929,1.064,1.04,0.45,0.419
147864,Rafael Monti,REM,Atacante,6,3.56,0.0,0.0,1,0.0,False,False,BOT,0.008,neutro,1.793,0.0,0.125,48.2,neutro,0.22,0.95,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
147194,Bruninho,CAP,Meia,6,3.06,0.46,1.55,6,5.0,True,True,GRE,-0.047,neutro,1.279,1.55,0.75,55.4,neutro,1.06,0.6,76.2,0.78,1.213,0.347,0.65,0.5,0.495
95362,Cassierra,CAM,Atacante,7,4.96,0.13,0.51,10,1.7,True,False,CRU,-1.488,armadilha_leve,1.18,0.51,1.0,41.1,neutro,0.97,0.525,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
146374,Gilberto,CAP,Lateral,6,7.09,0.0,8.8,2,0.0,False,True,GRE,0.369,neutro,4.486,5.8,0.25,72.7,favoravel,1.63,0.9,76.2,0.78,1.213,0.347,0.65,0.5,0.495
71536,Luiz Gustavo,CAP,Meia,3,7.35,1.74,3.6,10,11.2,True,True,GRE,0.544,valor_bom,3.852,2.6,1.0,55.4,neutro,4.27,0.6,76.2,0.78,1.213,0.347,0.65,0.5,0.495
110633,Gustavo,CFC,Meia,6,4.0,0.0,0.0,0,0.0,False,False,VIT,-2.192,armadilha_forte,0.0,0.0,0.0,35.8,desfavoravel,0.0,0.05,-19.8,1.04,1.0,0.8,0.988,0.475,0.312
86859,José Welison,REM,Meia,7,3.16,0.68,1.46,10,4.0,True,False,BOT,-0.115,neutro,1.289,1.46,1.0,48.1,neutro,1.24,0.95,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
103388,Emmanuel Martínez,VIT,Meia,7,7.39,0.22,4.33,8,6.5,True,True,CFC,0.981,valor_bom,4.248,4.33,1.0,46.6,neutro,3.96,0.375,19.8,0.8,0.988,1.04,1.0,0.4,0.442
122554,Freitas,REM,Meia,6,1.0,0.0,0.0,0,0.0,False,False,BOT,0.8,valor_bom,0.0,0.0,0.0,48.1,neutro,0.0,0.95,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
142265,Dell,BAH,Atacante,6,1.82,0.0,0.65,4,0.0,False,False,SAO,0.387,neutro,0.692,0.65,0.5,42.8,neutro,0.3,0.15,-16.6,1.129,1.2,1.071,1.418,0.45,0.291
89918,Everton Galdino,MIR,Atacante,6,2.55,-0.3,0.6,5,0.5,True,True,COR,-0.371,neutro,0.669,0.6,0.625,34.4,neutro,0.29,0.05,-11.1,0.923,1.067,0.578,0.945,0.25,0.537
113125,Picco,REM,Meia,6,7.0,-0.15,4.25,10,2.7,True,False,BOT,1.097,valor_bom,4.213,3.75,1.0,48.1,neutro,4.05,0.95,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
97906,Riccieli,VIT,Zagueiro,6,4.85,0.0,3.5,2,0.0,False,True,CFC,0.268,neutro,2.633,2.0,0.25,45.2,neutro,0.6,0.175,19.8,0.8,0.988,1.04,1.0,0.4,0.442
107859,Fintelman,VIT,Goleiro,6,2.0,0.0,0.0,0,0.0,False,True,CFC,-0.444,neutro,0.0,0.0,0.0,45.4,neutro,0.0,0.175,19.8,0.8,0.988,1.04,1.0,0.4,0.442
90370,Matheus Pereira,COR,Meia,7,3.58,0.03,0.86,8,0.8,True,False,MIR,-0.353,neutro,1.356,0.86,1.0,55.0,neutro,1.49,0.85,11.1,0.578,0.945,0.923,1.067,0.525,0.279
68952,Marinho,VIT,Atacante,2,5.68,-0.23,1.6,3,1.2,True,True,CFC,-1.094,armadilha_leve,1.903,1.6,0.375,46.2,neutro,0.66,0.375,19.8,0.8,0.988,1.04,1.0,0.4,0.442
140496,Tiaguinho,GRE,Meia,6,1.0,0.0,0.0,0,0.0,False,False,CAP,0.8,valor_bom,0.0,0.0,0.0,30.1,desfavoravel,0.0,0.3,-76.2,0.347,0.65,0.78,1.213,0.475,0.459
110598,Marino Hinestroza,VAS,Atacante,6,6.24,0.0,2.25,7,0.0,False,False,FLA,0.437,neutro,3.609,2.25,0.875,28.9,desfavoravel,1.83,0.1,-70.0,0.722,0.821,1.1,1.2,0.4,0.256
141551,Índio,CAM,Meia,6,1.0,0.0,0.0,0,0.0,False,False,CRU,0.8,valor_bom,0.0,0.0,0.0,41.6,neutro,0.0,0.525,-42.8,1.114,1.095,1.376,0.619,0.25,0.28
114308,Cufré,REM,Lateral,6,3.45,0.0,-0.3,1,0.0,False,False,BOT,-0.571,armadilha_leve,1.502,0.0,0.125,24.7,desfavoravel,0.09,0.025,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
105842,Edu,VIT,Zagueiro,5,4.13,0.0,1.5,1,0.0,False,True,CFC,0.322,neutro,2.314,1.5,0.125,45.2,neutro,0.26,0.175,19.8,0.8,0.988,1.04,1.0,0.4,0.442
