atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FD,scout_SG,scout_FC,scout_FS,scout_CA,scout_DE,scout_GS,scout_FF,scout_I,scout_G,scout_V,scout_A
101708,Felipe Jonatan,CFC,Lateral,9.2,True,2.0,1.0,1.0,,,,,,,,,,
101715,Alerrandro,INT,Atacante,-0.1,True,,,,2.0,1.0,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,,,
104811,Sebastián Gómez,CFC,Meia,0.2,True,,,,1.0,1.0,,,,,,,,
105157,Villagra,INT,Meia,0.0,True,,,,,,,,,,,,,
105949,Rochet,INT,Goleiro,0.8,True,1.0,,,,,1.0,1.0,1.0,,,,,
106202,Bruno Gomes,INT,Meia,2.8,True,1.0,,,,1.0,,,,1.0,,,,
107771,Fábio Matias,CHA,Técnico,0.0,False,,,,,,,,,,,,,
107989,Carbonero,INT,Atacante,1.6,True,,,,,,,,,2.0,,,,
110426,Bernabei,INT,Lateral,2.0,True,,,,,1.0,,,,2.0,1.0,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,
110708,Pedro Rangel,CFC,Goleiro,5.0,True,,,1.0,,,,,,,,,,
111466,Victor Gabriel,INT,Zagueiro,3.0,True,2.0,,,,,,,,,,,,
112576,Vini Paulista,CFC,Meia,2.3,True,1.0,,,,,,,,1.0,,,,
115479,Paulo Pezzolano,INT,Técnico,1.19,True,,,,,,,,,,,,,
117930,Lavega,CFC,Atacante,9.2,True,1.0,,,1.0,,,,,,,1.0,,
123648,Lucas Ronier,CFC,Atacante,-0.4,True,1.0,,,3.0,,1.0,,,,,,,
124270,Allex,INT,Meia,0.0,True,,,,,,,,,,,,,
126977,Fernando Seabra,CFC,Técnico,5.47,True,,,,,,,,,,,,1.0,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,
41929,Renato Gaúcho,VAS,Técnico,0.0,False,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,,
70944,Bruno Henrique,INT,Meia,1.3,True,,,,1.0,,,,,2.0,,,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,
79437,Roger Machado,SAO,Técnico,0.0,False,,,,,,,,,,,,,
82628,Tinga,CFC,Lateral,5.0,True,,,1.0,,,,,,,,,,
84339,Bruno Melo,CFC,Lateral,6.5,True,1.0,,1.0,,,,,,,,,,
84626,Josué,CFC,Meia,4.7,True,,,,1.0,,,,,,,,,1.0
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,,
90302,Pedro Rocha,CFC,Atacante,0.5,True,,,,,1.0,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,,,
97642,Félix Torres,INT,Zagueiro,-1.3,True,,,,1.0,,1.0,,,,,,,
97878,Jacy,CFC,Zagueiro,7.0,True,1.0,,1.0,,1.0,,,,,,,,
97899,Matheus Bahia,INT,Lateral,3.0,True,1.0,,,,3.0,,,,,,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,,,
