atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FS,scout_SG,scout_FC,scout_DS,scout_G,scout_FF,scout_FD,scout_A,scout_CA,scout_I,scout_DE,scout_V,scout_GS
100842,Ruan,CAM,Zagueiro,5.5,True,1.0,1.0,,,,,,,,,,,
100987,Nonato,FLU,Meia,0.0,True,,,,,,,,,,,,,
101319,Guga,FLU,Lateral,5.5,True,1.0,1.0,,,,,,,,,,,
101594,Hugo Moura,VAS,Meia,1.2,True,3.0,,1.0,,,,,,,,,,
101715,Alerrandro,INT,Atacante,9.2,True,,,1.0,1.0,1.0,,,,,,,,
101908,Willian Machado,MIR,Zagueiro,1.5,True,,,,1.0,,,,,,,,,
101960,Vitinho,INT,Atacante,0.8,True,,,,,,1.0,,,,,,,
102928,Canobbio,FLU,Atacante,0.0,True,,,,,,,,,,,,,
103523,Ignácio,FLU,Zagueiro,5.0,True,,1.0,,,,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.95,True,,,,,,,,,,,,,
104075,Sabino,SAO,Zagueiro,5.0,True,,1.0,,,,,,,,,,,
104204,Edson Carioca,MIR,Atacante,-0.3,True,,,1.0,,,,,,,,,,
104758,Enzo Díaz,SAO,Lateral,5.0,True,,1.0,,,,,,,,,,,
105157,Villagra,INT,Meia,1.2,True,,,1.0,1.0,,,,,,,,,
105584,Lucas Piton,VAS,Lateral,0.5,True,1.0,,,,,,,,,,,,
106202,Bruno Gomes,INT,Meia,5.0,True,1.0,,,3.0,,,,,,,,,
107554,Natanael,CAM,Lateral,6.5,True,,1.0,,1.0,,,,,,,,,
107771,Fábio Matias,CHA,Técnico,0.0,False,,,,,,,,,,,,,
107873,Bobadilla,SAO,Meia,1.2,True,,,,,,,1.0,,,,,,
107989,Carbonero,INT,Atacante,11.7,True,,,1.0,,1.0,,,1.0,1.0,,,,
110426,Bernabei,INT,Lateral,10.1,True,1.0,1.0,1.0,,,,,1.0,,1.0,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,
110759,John Kennedy,FLU,Atacante,0.0,True,,,,,,,,,,,,,
111683,Anthoni,INT,Goleiro,6.3,True,,1.0,,,,,,,,,1.0,,
113034,Freytes,FLU,Zagueiro,5.0,True,,1.0,,,,,,,,,,,
114040,Minda,CAM,Atacante,9.5,True,,,,1.0,1.0,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,6.62,True,,,,,,,,,,,,1.0,
115986,Denilson,MIR,Meia,-0.3,True,,,1.0,,,,,,,,,,
116447,Hércules,FLU,Meia,0.0,True,,,,,,,,,,,,,
116706,Andrés Gómez,VAS,Atacante,1.3,True,1.0,,,,,1.0,,,,,,,
117330,Robert Renan,VAS,Zagueiro,0.0,True,,,,,,,,,,,,,
122485,Barros,VAS,Meia,0.8,True,,,,,,1.0,,,,,,,
123360,Cauly,SAO,Meia,0.0,True,,,,,,,,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,
131617,André Silva,SAO,Atacante,1.5,True,,,,1.0,,,,,,,,,
142279,Nuno Moreira,VAS,Meia,-0.1,True,,,1.0,,,,1.0,,1.0,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,,,
37656,Fábio,FLU,Goleiro,6.3,True,,1.0,,,,,,,,,1.0,,
39656,Alan Franco,CAM,Meia,1.5,True,,,,1.0,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,
41929,Renato Gaúcho,VAS,Técnico,0.49,True,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,,
51413,Walter,MIR,Goleiro,0.3,True,,,,,,,,,,,1.0,,1.0
68708,Eduardo,MIR,Meia,1.5,True,,,,1.0,,,,,,,,,
68928,Rafael,SAO,Goleiro,5.0,True,,1.0,,,,,,,,,,,
70163,Milton Cruz,SAO,Técnico,2.95,True,,,,,,,,,,,,,
70944,Bruno Henrique,INT,Meia,-0.3,True,,,1.0,,,,,,,,,,
72294,Everson,CAM,Goleiro,5.0,True,,1.0,,,,,,,,,,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,
72460,Bernard,CAM,Meia,5.0,True,,,,,,,,1.0,,,,,
