atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_SG,scout_FC,scout_FS,scout_DE,scout_DS
100848,Luan Cândido,VIT,Lateral,5.0,True,1.0,,,,
100898,Vitinho,BOT,Lateral,5.0,True,1.0,,,,
101290,Ferreira,SAO,Atacante,0.0,True,,,,,
101715,Alerrandro,INT,Atacante,0.0,True,,,,,
101960,Vitinho,INT,Atacante,0.0,True,,,,,
102340,Cacá,VIT,Zagueiro,5.0,True,1.0,,,,
103388,Emmanuel Martínez,VIT,Meia,0.0,True,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,
104075,Sabino,SAO,Zagueiro,5.0,True,1.0,,,,
104118,Lucas Arcanjo,VIT,Goleiro,5.0,True,1.0,,,,
105157,Villagra,INT,Meia,0.0,True,,,,,
105214,Santi Rodríguez,BOT,Meia,-0.3,True,,1.0,,,
105300,Ferraresi,BOT,Zagueiro,5.0,True,1.0,,,,
106202,Bruno Gomes,INT,Meia,0.5,True,,,1.0,,
107771,Fábio Matias,CHA,Técnico,0.0,False,,,,,
110426,Bernabei,INT,Lateral,5.0,True,1.0,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,
111683,Anthoni,INT,Goleiro,6.3,True,1.0,,,1.0,
113157,Nathan Mendes,VIT,Lateral,6.5,True,1.0,,,,1.0
113359,Pablo Maia,SAO,Meia,0.0,True,,,,,
115479,Paulo Pezzolano,INT,Técnico,2.57,True,,,,,
116461,Jamerson,VIT,Lateral,5.0,True,1.0,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,
130209,Renê,VIT,Atacante,-0.3,True,,1.0,,,
141400,Huguinho,BOT,Meia,0.0,True,,,,,
142086,Kauan Toledo,BOT,Atacante,0.0,True,,,,,
142877,Villalba,BOT,Atacante,0.0,True,,,,,
142890,Montoro,BOT,Meia,0.0,True,,,,,
146430,Justino,BOT,Zagueiro,5.0,True,1.0,,,,
149990,Franclim Carvalho,BOT,Técnico,2.25,True,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,
40990,Dorival Júnior,SAO,Técnico,2.32,True,,,,,
41929,Renato Gaúcho,VAS,Técnico,0.0,False,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,
68806,Neto,BOT,Goleiro,5.0,True,1.0,,,,
68928,Rafael,SAO,Goleiro,5.0,True,1.0,,,,
70944,Bruno Henrique,INT,Meia,0.0,True,,,,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,
72951,Mercado,INT,Zagueiro,5.0,True,1.0,,,,
80287,Luciano,SAO,Atacante,0.0,True,,,,,
80570,Wendell,SAO,Lateral,5.0,True,1.0,,,,
82775,Lucas Ramon,SAO,Lateral,5.0,True,1.0,,,,
85403,Danielzinho,SAO,Meia,0.0,True,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,
89840,Calleri,SAO,Atacante,0.5,True,,,1.0,,
90588,Caíque,VIT,Meia,0.0,True,,,,,
90703,Matheuzinho,VIT,Meia,0.0,True,,,,,
92171,Arthur Cabral,BOT,Atacante,0.0,True,,,,,
92180,Jair Ventura,VIT,Técnico,2.38,True,,,,,
92182,Juninho,INT,Zagueiro,5.0,True,1.0,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,
92854,Borré,INT,Atacante,0.0,True,,,,,
95799,Artur,SAO,Atacante,0.0,True,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,
97468,Marçal,BOT,Lateral,5.0,True,1.0,,,,
97810,Erick,VIT,Atacante,0.0,True,,,,,
97899,Matheus Bahia,INT,Lateral,6.5,True,1.0,,,,1.0
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,
99440,Baralhas,VIT,Meia,0.0,True,,,,,
99889,Alan Franco,SAO,Zagueiro,5.0,True,1.0,,,,
