atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_FF,scout_FS,scout_SG,scout_CA,scout_FC,scout_FD,scout_I,scout_DS,scout_DE,scout_GS,scout_FT,scout_V,scout_CV,scout_A,scout_G
101908,Willian Machado,MIR,Zagueiro,6.3,True,1.0,1.0,1.0,,,,,,,,,,,,
102796,Julimar,CAP,Atacante,0.8,True,1.0,,,,,,,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,3.87,True,,,,,,,,,,,,,,,
104204,Edson Carioca,MIR,Atacante,-0.2,True,,,,1.0,1.0,1.0,1.0,,,,,,,,
104811,Sebastián Gómez,CFC,Meia,3.1,True,2.0,,,,,,,1.0,,,,,,,
105903,Aldo Filho,MIR,Meia,2.1,True,,,,,2.0,1.0,,1.0,,,,,,,
109127,Tiago Cóser,CFC,Zagueiro,-0.3,True,,,,,1.0,,,,,,,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,,,
110668,Esquivel,CAP,Lateral,5.0,True,,,1.0,,,,,,,,,,,,
110708,Pedro Rangel,CFC,Goleiro,7.0,True,,,,,,,,1.0,5.0,1.0,,,,,
112017,Felipinho,CAP,Meia,3.0,True,,,,,,,,2.0,,,,,,,
113113,Benavídez,CAP,Lateral,6.2,True,,,1.0,,1.0,,,1.0,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,,,,,,,
115914,Evertton Araújo,FLA,Meia,0.0,True,,,,,,,,,,,,,,,
115986,Denilson,MIR,Meia,2.5,True,,2.0,,,,,,1.0,,,,,,,
117930,Lavega,CFC,Atacante,0.0,True,,,,,,,,,,,,,,,
123869,Aguirre,CAP,Zagueiro,6.5,True,,,1.0,,,,,1.0,,,,,,,
125926,Zapelli,CAP,Meia,0.5,True,,1.0,,,,,,,,,,,,,
126977,Fernando Seabra,CFC,Técnico,1.37,True,,,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,,,
130843,Arthur Dias,CAP,Zagueiro,5.0,True,,,1.0,,,,,,,,,,,,
131516,JP Chermont,CFC,Lateral,2.0,True,,1.0,,,,,,1.0,,,,,,,
140492,João Victor,FLA,Zagueiro,5.0,True,,,1.0,,,,,,,,,,,,
143193,Viveros,CAP,Atacante,1.6,True,1.0,3.0,,,2.0,,1.0,,,,,,,,
147192,Claudinho,CAP,Lateral,12.5,True,,,1.0,,,,,3.0,,,1.0,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,,,,
41929,Renato Gaúcho,VAS,Técnico,0.0,False,,,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,,,,
51413,Walter,MIR,Goleiro,5.0,True,,,1.0,,,,,,,,,,,,
69012,Santos,CAP,Goleiro,8.9,True,,,1.0,,,,,,3.0,,,,,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,,,
73318,Daniel Borges,MIR,Lateral,9.2,True,,,1.0,,1.0,,,3.0,,,,,,,
78850,Reinaldo,MIR,Lateral,5.0,True,,,1.0,,,,,,,,,,,,
78855,Thiago Santos,CFC,Zagueiro,0.5,True,,1.0,,,,,,,,,,,,,
80129,Jadson,CAP,Meia,0.6,True,,,,,3.0,,,1.0,,,,,,,
82627,Luiz Araújo,FLA,Atacante,1.7,True,1.0,,,,1.0,1.0,,,,,,,,,
84339,Bruno Melo,CFC,Lateral,0.0,True,,,,,,,,,,,,,,,
