atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FT,scout_G,scout_FF,scout_I,scout_FC,scout_FS,scout_A,scout_FD,scout_CA,scout_DE,scout_GS
100842,Ruan,CAM,Zagueiro,12.5,True,1.0,1.0,1.0,,,,,,,,,
101314,Ademir,BAH,Atacante,13.2,True,3.0,,1.0,1.0,1.0,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,,
104783,Acevedo,BAH,Meia,2.5,True,1.0,,,1.0,,1.0,1.0,,,,,
105068,Reinier,CAM,Meia,0.2,True,,,,,,1.0,1.0,,,,,
105990,Santiago Mingo,BAH,Zagueiro,0.8,True,,,,1.0,,,,,,,,
106822,Rodrigo Nestor,BAH,Meia,14.1,True,5.0,,,2.0,,4.0,,1.0,1.0,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,,,,,
107554,Natanael,CAM,Lateral,4.2,True,1.0,,,1.0,1.0,,4.0,,,,,
109401,Erick Pulga,BAH,Atacante,1.4,True,,,,,,1.0,1.0,,1.0,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,,,,
115537,Marcos Victor,BAH,Zagueiro,0.0,True,,,,,,,,,,,,
116034,Victor Hugo,CAM,Meia,0.5,True,,,,,,,1.0,,,,,
123717,Zé Guilherme,BAH,Lateral,-0.1,True,1.0,,,,,2.0,,,,1.0,,
126189,Tomás Pérez,CAM,Meia,-0.3,True,,,,,,1.0,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,,
129663,Ruan Pablo,BAH,Atacante,0.0,True,,,,,,,,,,,,
132412,Román Gómez,BAH,Lateral,7.4,True,3.0,,,3.0,,,1.0,,,,,
145379,Kauê Furquim,BAH,Atacante,0.0,True,,,,,,,,,,,,
147088,Cissé,CAM,Meia,0.0,True,,,,,,,,,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,
51772,Everton Ribeiro,BAH,Meia,0.5,True,,,,,,,1.0,,,,,
68920,Dudu,CAM,Atacante,0.0,True,,,,,,,,,,,,
68996,Willian José,BAH,Atacante,3.0,True,,1.0,,,,,,,,,,
72294,Everson,CAM,Goleiro,1.6,True,,,,,,,,,,,2.0,1.0
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,
72460,Bernard,CAM,Meia,9.7,True,3.0,,,1.0,,2.0,,1.0,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,
91101,Ronaldo,BAH,Goleiro,2.9,True,,,,,,,,,,,3.0,1.0
91772,David Duarte,BAH,Zagueiro,4.2,True,1.0,1.0,,,,1.0,,,,,,
92087,Lyanco,CAM,Zagueiro,0.0,True,,,,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,3.76,True,,,,,,,,,,,,
94154,Maycon,CAM,Meia,1.5,True,1.0,,,,,,,,,,,
95362,Cassierra,CAM,Atacante,2.8,True,,,,2.0,,,,,1.0,,,
96591,Renan Lodi,CAM,Lateral,3.4,True,,,,3.0,,,2.0,,,,,
97341,Rogério Ceni,BAH,Técnico,4.65,True,,,,,,,,,,,,
97868,Iago,BAH,Lateral,-0.3,True,,,,,,1.0,,,,,,
98022,Erick,BAH,Meia,1.5,True,1.0,,,2.0,,2.0,,,,1.0,,
98909,Cuello,CAM,Atacante,5.3,True,1.0,,,,1.0,,3.0,,2.0,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,,
