atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FF,scout_FT,scout_FC,scout_FS,scout_SG,scout_DE,scout_FD,scout_GS,scout_G,scout_A,scout_V,scout_I
101393,Eduardo Doma,CHA,Zagueiro,1.5,True,1.0,,,,,,,,,,,,
101715,Alerrandro,INT,Atacante,0.8,True,,1.0,,,,,,,,,,,
101960,Vitinho,INT,Atacante,3.0,True,,,1.0,,,,,,,,,,
102256,Rollheiser,SAN,Meia,0.5,True,,1.0,,1.0,,,,,,,,,
102975,Escobar,SAN,Lateral,6.7,True,1.0,,,1.0,1.0,1.0,,,,,,,
103056,Gabriel Brazão,SAN,Goleiro,6.3,True,,,,,,1.0,1.0,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,,,
104519,Camilo,CHA,Meia,2.0,True,1.0,,,,1.0,,,,,,,,
105157,Villagra,INT,Meia,4.5,True,3.0,,,,,,,,,,,,
106202,Bruno Gomes,INT,Meia,1.0,True,,1.0,,1.0,1.0,,,,,,,,
106907,Rafael Lacerda,CHA,Técnico,1.67,True,,,,,,,,,,,,,
106950,Fernando,CHA,Lateral,4.5,True,3.0,,,,,,,,,,,,
107203,Max,CHA,Meia,2.3,True,1.0,1.0,,,,,,,,,,,
107516,Ênio,CHA,Atacante,-0.1,True,,,,2.0,1.0,,,,,,,,
107985,Terán,CAP,Zagueiro,6.5,True,1.0,,,,,1.0,,,,,,,
107989,Carbonero,INT,Atacante,2.2,True,1.0,,,1.0,2.0,,,,,,,,
110426,Bernabei,INT,Lateral,0.9,True,,,,1.0,,,,1.0,,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,
110668,Esquivel,CAP,Lateral,7.9,True,2.0,,,2.0,1.0,1.0,,,,,,,
111683,Anthoni,INT,Goleiro,0.3,True,,,,,,,1.0,,1.0,,,,
115479,Paulo Pezzolano,INT,Técnico,1.65,True,,,,,,,,,,,,,
123101,Leozinho,CAP,Atacante,12.1,True,1.0,3.0,,1.0,1.0,,,,,1.0,,,
123869,Aguirre,CAP,Zagueiro,5.0,True,,,,,,1.0,,,,,,,
126471,Barreal,SAN,Meia,6.5,True,1.0,,,,,,,,,,1.0,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,,,
140438,David,CHA,Meia,1.5,True,1.0,,,,,,,,,,,,
141754,Gabriel Bontempo,SAN,Meia,5.0,True,3.0,,,,1.0,,,,,,,,
143193,Viveros,CAP,Atacante,0.5,True,,1.0,,1.0,,,,,,,,,
145563,João Ananias,SAN,Zagueiro,6.5,True,1.0,,,,,1.0,,,,,,,
147192,Claudinho,CAP,Lateral,6.2,True,1.0,,,1.0,,1.0,,,,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,6.8,True,,,,,,,,,,,,1.0,
63007,Neymar,SAN,Meia,10.4,True,,1.0,,,1.0,,,1.0,,1.0,,,1.0
69012,Santos,CAP,Goleiro,7.6,True,,,,,,1.0,2.0,,,,,,
71536,Luiz Gustavo,CAP,Meia,0.2,True,,,,1.0,1.0,,,,,,,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,
78478,Willian Arão,SAN,Meia,6.0,True,4.0,,,,,,,,,,,,
80129,Jadson,CAP,Meia,1.5,True,1.0,,,,,,,,,,,,
80313,Gilberto,CAP,Lateral,5.0,True,,,,,,1.0,,,,,,,
83257,Gabriel,SAN,Atacante,1.5,True,1.0,,,,,,,,,,,,
86292,Bolasie,CHA,Atacante,1.7,True,1.0,,,1.0,1.0,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,,
90031,Mendoza,CAP,Atacante,-0.1,True,,,,,,,,,,,,,1.0
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,
92182,Juninho,INT,Zagueiro,0.0,True,,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,5.76,True,,,,,,,,,,,,1.0,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,,
93368,Lucas Veríssimo,SAN,Zagueiro,7.0,True,1.0,,,,1.0,1.0,,,,,,,
93637,Bruno Tubarão,CHA,Lateral,2.7,True,1.0,,,,,,,1.0,,,,,
94034,Kevin Ramírez,CHA,Atacante,0.5,True,,,,,1.0,,,,,,,,
95466,Igor Vinícius,SAN,Lateral,7.4,True,2.0,,,2.0,,1.0,,,,,,,
95620,Bruno Leonardo,CHA,Zagueiro,1.5,True,1.0,,,,,,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,,,
97642,Félix Torres,INT,Zagueiro,4.5,True,3.0,,,,,,,,,,,,
97899,Matheus Bahia,INT,Lateral,0.5,True,,,,,1.0,,,,,,,,
97905,Matheus Aurélio,CHA,Goleiro,0.3,True,,,,,,,1.0,,1.0,,,,
98617,Maripán,INT,Zagueiro,0.5,True,,,,,1.0,,,,,,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,,,
