atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_SG,scout_DS,scout_FF,scout_FT,scout_FS,scout_FC,scout_G,scout_I,scout_CA,scout_V,scout_DE,scout_FD,scout_GS,scout_GC,scout_A
100848,Luan Cândido,VIT,Lateral,5.0,True,1.0,,,,,,,,,,,,,,
100987,Nonato,FLU,Meia,0.0,True,,,,,,,,,,,,,,,
101254,Alef Manga,REM,Atacante,5.3,True,,1.0,1.0,1.0,,,,,,,,,,,
101314,Ademir,BAH,Atacante,1.5,True,,1.0,,,,,,,,,,,,,
101597,Ramon,VIT,Lateral,5.0,True,1.0,,,,,,,,,,,,,,
101715,Alerrandro,INT,Atacante,0.0,True,,,,,,,,,,,,,,,
101820,Mayk,REM,Lateral,0.5,True,,,,,1.0,,,,,,,,,,
101908,Willian Machado,MIR,Zagueiro,1.5,True,,1.0,,,,,,,,,,,,,
101960,Vitinho,INT,Atacante,14.2,True,,4.0,,,1.0,1.0,1.0,,,,,,,,
101995,Brítez,VIT,Zagueiro,5.5,True,1.0,,,,1.0,,,,,,,,,,
102130,Piquerez,PAL,Lateral,7.3,True,1.0,1.0,1.0,,,,,,,,,,,,
102340,Cacá,VIT,Zagueiro,5.0,True,1.0,,,,,,,,,,,,,,
102877,Gabriel Poveda,REM,Atacante,0.0,True,,,,,,,,,,,,,,,
102911,Zé Ricardo,REM,Meia,3.4,True,,1.0,1.0,,3.0,1.0,,1.0,,,,,,,
102928,Canobbio,FLU,Atacante,0.0,True,,,,,,,,,,,,,,,
103347,Matheus Alexandre,REM,Lateral,0.5,True,,1.0,,,,,,,1.0,,,,,,
103388,Emmanuel Martínez,VIT,Meia,-0.6,True,,,,,,2.0,,,,,,,,,
103523,Ignácio,FLU,Zagueiro,3.7,True,1.0,,,,,1.0,,,1.0,,,,,,
103967,Bruno Santos,MIR,Atacante,-0.3,True,,,,,1.0,2.0,,2.0,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,5.56,True,,,,,,,,,,1.0,,,,,
104084,Carlos Miguel,PAL,Goleiro,5.0,True,1.0,,,,,,,,,,,,,,
104118,Lucas Arcanjo,VIT,Goleiro,6.3,True,1.0,,,,,,,,,,1.0,,,,
