atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FD,scout_FS,scout_FF,scout_FC,scout_SG,scout_DE,scout_I
101290,Ferreira,SAO,Atacante,3.2,True,1.0,1.0,1.0,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,
105563,Carlos Vinícius,GRE,Atacante,0.8,True,,,,1.0,,,,
106294,Marcos Antônio,SAO,Meia,1.7,True,1.0,,1.0,,1.0,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,
108162,Nardoni,GRE,Meia,0.8,True,,,,1.0,,,,
109097,Jovane Cabral,GRE,Atacante,4.4,True,2.0,1.0,1.0,,1.0,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,
111309,Gustavo Martins,GRE,Zagueiro,5.0,True,,,,,,1.0,,
113359,Pablo Maia,SAO,Meia,0.0,True,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,
122670,Diego Caito,GRE,Lateral,4.9,True,,,1.0,,2.0,1.0,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,
130048,Noriega,GRE,Zagueiro,7.0,True,1.0,,1.0,,,1.0,,
130307,Wallace,GRE,Zagueiro,5.2,True,,,1.0,,1.0,1.0,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,
150197,Osorio,SAO,Zagueiro,6.5,True,1.0,,,,,1.0,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,3.31,True,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,
68928,Rafael,SAO,Goleiro,6.3,True,,,,,,1.0,1.0,
71631,Weverton,GRE,Goleiro,6.3,True,,,,,,1.0,1.0,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,
80287,Luciano,SAO,Atacante,3.3,True,1.0,,2.0,1.0,,,,
80570,Wendell,SAO,Lateral,6.6,True,1.0,,1.0,,1.0,1.0,,1.0
82775,Lucas Ramon,SAO,Lateral,5.0,True,,,,,,1.0,,
85403,Danielzinho,SAO,Meia,-0.3,True,,,,,1.0,,,
88037,Luís Castro,GRE,Técnico,4.01,True,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,
89840,Calleri,SAO,Atacante,-0.9,True,,,,,3.0,,,
91573,Arboleda,SAO,Zagueiro,5.0,True,,,,,,1.0,,
91706,Marlon,GRE,Lateral,5.0,True,,,,,,1.0,,
91908,Pavón,GRE,Atacante,3.2,True,2.0,,1.0,,1.0,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,
97145,Villasanti,GRE,Meia,1.5,True,1.0,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,
