atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
99789,Brenner,VAS,Atacante,2,6.94,-0.13,2.9,14,1.8,True,True,SAN,-0.113,neutro,3.612,2.33,1.0,64.8,neutro,2.64,0.95,36.7,0.183,0.813,1.159,1.2,0.275,0.475,0.47
145404,Arthur,PAL,Lateral,6,4.22,0.0,4.16,14,0.0,False,False,FLU,1.323,valor_bom,3.885,2.87,1.0,54.1,neutro,3.04,0.225,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
68952,Marinho,VIT,Atacante,6,5.27,0.54,2.06,7,3.9,True,True,BOT,-0.959,armadilha_leve,2.154,2.06,0.875,48.9,neutro,2.25,0.825,30.9,0.2,1.067,0.6,0.509,0.175,0.382,
145436,Belé,PAL,Atacante,6,3.0,0.0,0.0,0,0.0,False,False,FLU,-1.853,armadilha_forte,0.0,0.0,0.0,51.0,neutro,0.97,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
146623,Luis Pacheco,PAL,Meia,6,1.98,0.0,0.0,3,0.0,False,False,FLU,0.095,neutro,0.745,0.0,0.375,48.5,neutro,1.48,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
140496,Tiaguinho,GRE,Meia,6,0.93,0.0,0.0,1,0.0,False,False,CAM,1.804,valor_oculto,0.911,0.0,0.125,62.2,neutro,2.08,0.95,-46.0,1.4,1.4,0.933,0.778,0.525,0.0,0.467
141551,Índio,CAM,Meia,5,1.0,0.0,0.0,0,0.0,False,True,GRE,0.535,valor_bom,0.0,0.0,0.0,68.4,favoravel,1.69,0.475,46.0,0.933,0.778,1.4,1.4,0.65,0.519,0.467
107075,Yuri Sena,VIT,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,BOT,0.266,neutro,0.0,0.0,0.0,65.3,favoravel,1.56,0.1,30.9,0.2,1.067,0.6,0.509,0.175,0.382,
130608,Riquelme Fillipi,PAL,Atacante,6,1.46,0.0,1.37,3,0.0,False,False,FLU,0.903,valor_bom,0.895,1.37,0.375,51.0,neutro,1.67,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.0,
87552,Vitor Bueno,REM,Meia,6,7.61,0.97,3.56,15,7.0,True,False,INT,0.192,neutro,3.736,1.89,1.0,52.6,neutro,2.26,0.5,-12.2,1.015,0.856,0.574,1.304,0.45,0.0,
110598,Marino Hinestroza,VAS,Atacante,6,5.63,-0.13,1.83,9,1.0,True,True,SAN,-1.311,armadilha_leve,2.021,1.83,1.0,64.8,neutro,2.65,0.95,36.7,0.183,0.813,1.159,1.2,0.275,0.475,0.47
130906,Riquelme,CAP,Meia,6,1.53,0.62,1.06,5,3.0,True,True,RBB,1.029,valor_bom,1.038,1.06,0.625,52.1,neutro,1.83,0.2,32.1,1.027,0.232,1.131,0.764,0.875,0.445,0.434
94930,Lucas Paquetá,FLA,Meia,6,13.54,-1.32,6.05,12,1.5,True,False,MIR,0.294,neutro,5.256,4.8,1.0,65.4,neutro,3.69,0.675,9.1,1.185,0.467,1.05,0.98,0.775,0.0,0.467
