atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FC,scout_FS,scout_A,scout_CA,scout_SG,scout_FD,scout_FF,scout_DE,scout_V,scout_GS,scout_G
101319,Guga,FLU,Lateral,1.7,True,1.0,1.0,1.0,,,,,,,,,
102130,Piquerez,PAL,Lateral,8.7,True,,1.0,,1.0,1.0,1.0,,,,,,
102928,Canobbio,FLU,Atacante,5.2,True,2.0,1.0,1.0,,,,1.0,1.0,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,,
104084,Carlos Miguel,PAL,Goleiro,6.3,True,,,,,,1.0,,,1.0,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,,,,,
109573,Martinelli,FLU,Meia,1.3,True,,,1.0,,,,,1.0,,,,
110506,Abel Ferreira,PAL,Técnico,5.53,True,,,,,,,,,,1.0,,
113103,Flaco López,PAL,Atacante,1.8,True,,,2.0,,,,,1.0,,,,
114802,Vitor Roque,PAL,Atacante,-0.6,True,,2.0,,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,,,,
116447,Hércules,FLU,Meia,2.0,True,1.0,,1.0,,,,,,,,,
124526,Giay,PAL,Lateral,6.0,True,,,2.0,,,1.0,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,,
132553,Jemmes,FLU,Zagueiro,1.4,True,1.0,2.0,1.0,,,,,,,,,
141451,Allan,PAL,Meia,0.6,True,,2.0,,,,,1.0,,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,,
37656,Fábio,FLU,Goleiro,1.6,True,,,,,,,,,2.0,,1.0,
39148,Hulk,FLU,Atacante,9.0,True,,,2.0,,,,,,,,,1.0
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,
62977,Ganso,FLU,Meia,4.3,True,2.0,,1.0,,,,,1.0,,,,
71684,Gustavo Gómez,PAL,Zagueiro,16.0,True,2.0,,,,,1.0,,,,,,1.0
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,
73476,Marcão,FLU,Técnico,3.19,True,,,,,,,,,,,,
78445,Renê,FLU,Lateral,3.5,True,2.0,,1.0,,,,,,,,,
87258,Soteldo,FLU,Atacante,2.4,True,2.0,2.0,,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,
89274,Andreas Pereira,PAL,Meia,0.0,True,,,,,,,,,,,,
89493,Igor Rabello,FLU,Zagueiro,2.7,True,2.0,1.0,,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,
93790,Marlon Freitas,PAL,Meia,2.7,True,2.0,1.0,,,,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,,
97653,Murilo,PAL,Zagueiro,7.4,True,1.0,1.0,,,,1.0,1.0,,,,,
99815,Arias,PAL,Meia,0.9,True,,3.0,2.0,,,,,1.0,,,,
