atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,prob_vitoria,prob_gols
99789,Brenner,VAS,Atacante,5,6.94,0.0,2.9,14,0.0,False,False,PAL,-0.293,neutro,3.602,2.33,1.0,0.351,0.504
104134,Fabri,VIT,Atacante,6,4.67,0.0,2.33,8,0.0,False,True,BAH,-0.554,armadilha_leve,2.367,1.71,1.0,0.377,0.479
107075,Yuri Sena,VIT,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,BAH,0.281,neutro,0.0,0.0,0.0,0.377,0.479
130608,Riquelme Fillipi,PAL,Atacante,6,1.46,0.0,1.37,3,0.0,False,True,VAS,1.084,valor_bom,1.054,1.37,0.375,0.575,0.504
147088,Cissé,CAM,Meia,6,2.34,0.05,1.71,12,1.7,True,False,INT,0.555,valor_bom,1.425,1.29,1.0,0.174,0.479
146623,Luis Pacheco,PAL,Meia,6,1.98,0.0,0.0,3,0.0,False,True,VAS,0.079,neutro,0.725,0.0,0.375,0.575,0.504
101729,Fabinho,CFC,Atacante,6,1.43,0.0,-0.03,7,0.0,False,True,COR,0.39,neutro,0.485,0.0,0.875,0.307,0.384
130906,Riquelme,CAP,Meia,6,1.53,0.0,1.06,5,0.0,False,False,BOT,0.991,valor_bom,1.021,1.06,0.625,0.281,0.461
141551,Índio,CAM,Meia,5,1.0,0.0,0.0,0,0.0,False,False,INT,0.526,valor_bom,0.0,0.0,0.0,0.174,0.479
145404,Arthur,PAL,Lateral,6,4.38,0.16,4.05,15,2.5,True,True,VAS,1.103,valor_bom,3.852,2.85,1.0,0.575,0.504
87552,Vitor Bueno,REM,Meia,6,7.85,0.24,3.86,16,8.4,True,False,FLU,0.367,neutro,3.936,1.98,1.0,0.313,0.527
145436,Belé,PAL,Atacante,6,3.0,0.0,0.0,0,0.0,False,True,VAS,-2.245,armadilha_forte,0.0,0.0,0.0,0.575,0.504
146632,Alisson,INT,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,CAM,0.265,neutro,0.0,0.0,0.0,0.442,0.479
124270,Allex,INT,Meia,2,2.2,-0.18,1.38,9,0.0,True,True,CAM,0.422,neutro,1.2,1.38,1.0,0.442,0.479
147202,João Bezerra,INT,Atacante,6,1.19,0.0,0.6,2,0.0,False,True,CAM,1.309,valor_bom,0.869,0.6,0.25,0.442,0.479
142638,João Victor,INT,Atacante,5,1.0,0.0,0.0,0,0.0,False,True,CAM,0.539,valor_bom,0.0,0.0,0.0,0.442,0.479
141615,Pedro Ferreira,SAO,Meia,6,1.51,0.0,1.2,2,0.0,False,False,CHA,1.038,valor_bom,1.038,1.2,0.25,0.27,0.458
94930,Lucas Paquetá,FLA,Meia,2,14.34,0.8,6.28,13,9.0,True,False,CRU,0.374,neutro,5.445,5.13,1.0,0.157,0.469
130698,Kadu,BOT,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,CAP,0.265,neutro,0.0,0.0,0.0,0.414,0.461
145036,Fernando Pradella,SAN,Atacante,6,0.82,0.0,0.0,1,0.0,False,True,MIR,2.004,valor_oculto,0.832,0.0,0.125,0.499,0.5
142086,Kauan Toledo,BOT,Atacante,6,2.87,0.0,2.18,5,0.0,False,True,CAP,-0.265,neutro,1.414,2.18,0.625,0.414,0.461
147788,Arthur Izaque,BOT,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,CAP,0.539,valor_bom,0.0,0.0,0.0,0.414,0.461
118844,Kaio César,COR,Atacante,7,10.09,-0.1,6.15,11,3.9,True,False,CFC,0.968,valor_bom,5.594,4.24,1.0,0.211,0.384
147883,João Vitor,VAS,Atacante,6,3.49,0.0,3.13,4,0.0,False,False,PAL,-0.531,armadilha_leve,1.667,3.13,0.5,0.351,0.504
141406,Andrey Fernandes,VAS,Atacante,6,1.41,0.0,1.7,1,0.0,False,False,PAL,1.123,valor_bom,1.021,1.7,0.125,0.351,0.504
147782,Arthur Novaes,BOT,Meia,6,1.0,0.0,0.0,0,0.0,False,True,CAP,0.526,valor_bom,0.0,0.0,0.0,0.414,0.461
90608,Chico da Costa,CRU,Atacante,6,3.81,0.0,1.24,7,0.0,False,True,FLA,-0.554,armadilha_leve,1.861,0.53,0.875,0.311,0.469
101715,Alerrandro,INT,Atacante,2,6.18,-0.15,3.45,21,0.3,True,True,CAM,0.411,neutro,3.831,1.59,1.0,0.442,0.479
123738,Herrera,RBB,Atacante,7,4.56,-1.13,2.48,16,0.8,True,True,GRE,-0.36,neutro,2.455,1.98,1.0,0.539,0.504
112939,Catarozzi,REM,Meia,6,5.41,0.0,0.9,1,0.0,False,False,FLU,-1.031,armadilha_leve,1.914,0.9,0.125,0.313,0.527
148103,Rafael Soares,REM,Meia,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.526,valor_bom,0.0,0.0,0.0,0.313,0.527
108131,Garcez,CHA,Atacante,5,3.12,0.0,1.22,8,0.0,False,True,SAO,-0.955,armadilha_leve,1.078,1.22,1.0,0.264,0.458
147546,Roger,GRE,Meia,6,1.5,0.0,1.2,2,0.0,False,False,RBB,1.051,valor_bom,1.038,1.2,0.25,0.145,0.504
127969,Matheus Reis,FLU,Atacante,5,1.0,0.0,0.0,0,0.0,False,True,REM,0.539,valor_bom,0.0,0.0,0.0,0.666,0.527
141126,Pedro Cobra,CAM,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,INT,0.281,neutro,0.0,0.0,0.0,0.174,0.479
141991,Tico,REM,Atacante,6,1.1,0.0,0.5,1,0.0,False,False,FLU,1.503,valor_oculto,0.888,0.5,0.125,0.313,0.527
