atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
145436,Belé,PAL,Atacante,6,3.0,0.0,0.0,0,0.0,False,False,FLU,-1.846,armadilha_forte,0.0,0.0,0.0,51.3,neutro,0.99,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.149,0.527
101729,Fabinho,CFC,Atacante,6,1.43,0.0,-0.03,7,0.0,False,False,SAO,0.373,neutro,0.422,0.0,0.875,36.1,desfavoravel,0.98,0.3,-17.5,0.489,1.214,0.646,1.176,0.4,0.368,0.48
141551,Índio,CAM,Meia,5,1.0,0.0,0.0,0,0.0,False,True,GRE,0.404,neutro,0.0,0.0,0.0,68.5,favoravel,1.7,0.475,46.0,0.933,0.778,1.4,1.4,0.65,0.507,0.467
130906,Riquelme,CAP,Meia,6,1.53,0.62,1.06,5,3.0,True,True,RBB,0.858,valor_bom,1.038,1.06,0.625,52.3,neutro,1.84,0.2,32.1,1.027,0.232,1.131,0.764,0.875,0.456,0.424
130608,Riquelme Fillipi,PAL,Atacante,6,1.46,0.0,1.37,3,0.0,False,False,FLU,0.954,valor_bom,0.968,1.37,0.375,51.3,neutro,1.72,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.149,0.527
145404,Arthur,PAL,Lateral,6,4.22,0.0,4.16,14,0.0,False,False,FLU,1.255,valor_bom,3.871,2.87,1.0,54.2,neutro,3.04,0.225,0.0,1.042,0.825,0.568,0.677,0.65,0.149,0.527
87552,Vitor Bueno,REM,Meia,6,7.61,0.97,3.56,15,7.0,True,False,INT,0.318,neutro,3.751,1.89,1.0,52.2,neutro,2.25,0.5,-12.2,1.015,0.856,0.574,1.304,0.45,,0.461
146623,Luis Pacheco,PAL,Meia,6,1.98,0.0,0.0,3,0.0,False,False,FLU,0.079,neutro,0.745,0.0,0.375,49.0,neutro,1.5,0.425,0.0,1.042,0.825,0.568,0.677,0.65,0.149,0.527
107075,Yuri Sena,VIT,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,BOT,0.266,neutro,0.0,0.0,0.0,65.1,favoravel,1.56,0.1,30.9,0.2,1.067,0.6,0.509,0.175,0.359,0.475
104134,Fabri,VIT,Atacante,6,4.67,-0.6,2.33,8,0.0,True,True,BOT,-0.458,neutro,2.281,1.71,1.0,48.0,neutro,2.26,0.825,30.9,0.2,1.067,0.6,0.509,0.175,0.359,0.475
147088,Cissé,CAM,Meia,2,2.29,-0.13,1.71,11,1.3,True,True,GRE,0.529,valor_bom,1.422,1.26,1.0,68.5,favoravel,2.56,0.475,46.0,0.933,0.778,1.4,1.4,0.65,0.507,0.467
94930,Lucas Paquetá,FLA,Meia,2,13.54,-1.32,6.05,12,1.5,True,False,MIR,0.477,neutro,5.274,4.8,1.0,65.6,neutro,3.69,0.675,9.1,1.185,0.467,1.05,0.98,0.775,,0.467
146632,Alisson,INT,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,REM,0.377,neutro,0.0,0.0,0.0,45.7,neutro,0.75,0.575,12.2,0.574,1.304,1.015,0.856,0.275,0.421,0.461
145036,Fernando Pradella,SAN,Atacante,6,0.82,0.0,0.0,1,0.0,False,False,VAS,1.729,valor_oculto,0.727,0.0,0.125,54.4,neutro,1.64,0.8,-36.7,1.159,1.2,0.183,0.813,0.275,0.264,0.47
99789,Brenner,VAS,Atacante,5,6.94,-0.13,2.9,14,1.8,True,True,SAN,-0.099,neutro,3.624,2.33,1.0,65.6,neutro,2.66,0.95,36.7,0.183,0.813,1.159,1.2,0.275,0.488,0.47
124270,Allex,INT,Meia,6,2.38,0.0,1.55,8,0.0,False,True,REM,0.307,neutro,1.287,1.55,1.0,55.7,neutro,2.5,0.9,12.2,0.574,1.304,1.015,0.856,0.275,0.421,0.461
141615,Pedro Ferreira,SAO,Meia,6,1.51,0.0,1.2,2,0.0,False,True,CFC,0.905,valor_bom,1.06,1.2,0.25,53.6,neutro,1.85,0.6,17.5,0.646,1.176,0.489,1.214,0.175,0.551,0.48
118844,Kaio César,COR,Atacante,6,10.19,-0.21,6.38,10,2.9,True,True,CRU,1.096,valor_bom,5.718,4.28,1.0,75.4,favoravel,3.92,0.7,7.8,1.65,0.44,1.027,0.568,0.775,0.414,
