atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_SG,scout_FS,scout_DS,scout_FC,scout_I,scout_CA,scout_FD,scout_FF,scout_DE
100804,Tchamba,REM,Zagueiro,5.0,True,1.0,,,,,,,,
102911,Zé Ricardo,REM,Meia,0.5,True,,1.0,,,,,,,
102928,Canobbio,FLU,Atacante,1.6,True,,1.0,1.0,1.0,1.0,,,,
103523,Ignácio,FLU,Zagueiro,5.0,True,1.0,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,
105048,Jajá,REM,Atacante,1.5,True,,,1.0,,,,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,,
109573,Martinelli,FLU,Meia,-0.3,True,,,,1.0,,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,
116447,Hércules,FLU,Meia,-1.0,True,,,,,,1.0,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,
147850,Rodrigo Bellão,BOT,Técnico,0.0,False,,,,,,,,,
37457,Léo Condé,REM,Técnico,3.59,True,,,,,,,,,
37656,Fábio,FLU,Goleiro,5.0,True,1.0,,,,,,,,
37715,Thiago Silva,FLU,Zagueiro,5.0,True,1.0,,,,,,,,
39148,Hulk,FLU,Atacante,3.5,True,,,1.0,,,,1.0,1.0,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,
62977,Ganso,FLU,Meia,2.9,True,,,2.0,,1.0,,,,
70666,Marllon,REM,Zagueiro,5.0,True,1.0,,,,,,,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,
73384,Samuel Xavier,FLU,Lateral,4.9,True,1.0,,,,1.0,,,,
73476,Marcão,FLU,Técnico,3.05,True,,,,,,,,,
78445,Renê,FLU,Lateral,5.5,True,1.0,1.0,,,,,,,
80196,Yago Pikachu,REM,Meia,5.3,True,,,3.0,,,,,1.0,
82730,Marcelo Rangel,REM,Goleiro,6.3,True,1.0,,,,,,,,1.0
86859,José Welison,REM,Meia,-0.3,True,,,,1.0,,,,,
86864,Marlon,REM,Lateral,7.7,True,1.0,,2.0,1.0,,,,,
87258,Soteldo,FLU,Atacante,1.5,True,,,1.0,,,,,,
87552,Vitor Bueno,REM,Meia,0.0,True,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,
95131,Gabriel Taliari,REM,Atacante,0.5,True,,1.0,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,
97795,Marcelinho,REM,Lateral,8.0,True,1.0,,2.0,,,,,,
