atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_CA,scout_FF,scout_FS,scout_DS,scout_FC,scout_GC,scout_A,scout_G,scout_FD,scout_FT,scout_DE,scout_GS,scout_PC,scout_V
100695,Fernando,RBB,Atacante,0.3,True,1.0,1.0,1.0,,,,,,,,,,,
101314,Ademir,BAH,Atacante,1.5,True,,,,1.0,,,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,0.0,False,,,,,,,,,,,,,,
104783,Acevedo,BAH,Meia,0.1,True,,,2.0,,3.0,,,,,,,,,
105990,Santiago Mingo,BAH,Zagueiro,-3.0,True,,,,,,1.0,,,,,,,,
106323,Caio Alexandre,BAH,Meia,0.0,True,,,,,,,,,,,,,,
106822,Rodrigo Nestor,BAH,Meia,11.4,True,,,1.0,1.0,2.0,,2.0,,,,,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,,,,,,,
107093,Luciano Juba,BAH,Lateral,11.2,True,1.0,,,3.0,1.0,,,1.0,,,,,,
107173,Michel Araújo,BAH,Meia,-0.9,True,,,,,3.0,,,,,,,,,
109401,Erick Pulga,BAH,Atacante,3.7,True,,1.0,1.0,1.0,1.0,,,,1.0,,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,,
110715,Andrés Hurtado,RBB,Lateral,1.7,True,,,1.0,1.0,1.0,,,,,,,,,
110750,Gustavo Marques,RBB,Zagueiro,3.9,True,,,,2.0,1.0,,,,1.0,,,,,
111246,Alix Vinicius,RBB,Zagueiro,2.7,True,,,,2.0,1.0,,,,,,,,,
111760,Fabinho,RBB,Meia,2.5,True,,,2.0,1.0,,,,,,,,,,
112886,Lucas Barbosa,RBB,Atacante,15.1,True,,,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,
113397,Cristian Olivera,BAH,Atacante,3.5,True,,,1.0,2.0,,,,,,,,,,
114208,Alejo Véliz,BAH,Atacante,10.7,True,,2.0,1.0,,2.0,,,1.0,1.0,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,,,,,,
118563,Rodriguinho,RBB,Meia,5.2,True,,2.0,,1.0,1.0,,,,2.0,,,,,
122573,Wallace Yan,RBB,Atacante,10.4,True,,1.0,2.0,2.0,2.0,,1.0,,1.0,,,,,
123738,Herrera,RBB,Atacante,4.6,True,,1.0,1.0,,1.0,,,,3.0,,,,,
124239,Henry Mosquera,RBB,Atacante,2.2,True,,,2.0,,,,,,1.0,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,,,,
132412,Román Gómez,BAH,Lateral,2.2,True,,,2.0,1.0,1.0,,,,,,,,,
132580,Vinicinho,RBB,Atacante,0.5,True,,,1.0,,,,,,,,,,,
147850,Rodrigo Bellão,BOT,Técnico,0.0,False,,,,,,,,,,,,,,
148125,Ryan Augusto,RBB,Lateral,0.0,True,,,,,,,,,,,,,,
149994,Jhuan Nunes,RBB,Atacante,0.0,True,,,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,0.0,False,,,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,4.85,True,,,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,,,
68996,Willian José,BAH,Atacante,0.0,True,,,,,,,,,,,,,,
72018,Tiago Volpi,RBB,Goleiro,0.1,True,,,1.0,,,,,,,,2.0,3.0,,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,,
73476,Marcão,FLU,Técnico,0.0,False,,,,,,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,0.0,False,,,,,,,,,,,,,,
91101,Ronaldo,BAH,Goleiro,9.7,True,,,,,,,,,,,9.0,2.0,,
91772,David Duarte,BAH,Zagueiro,1.5,True,,,,1.0,,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,,,
94968,Juninho Capixaba,RBB,Lateral,4.2,True,,,2.0,3.0,1.0,,,,,,,,1.0,
97341,Rogério Ceni,BAH,Técnico,6.98,True,,,,,,,,,,,,,,1.0
98022,Erick,BAH,Meia,11.5,True,1.0,1.0,2.0,2.0,1.0,,,1.0,,,,,,
98517,Jean Lucas,BAH,Meia,2.7,True,,,,2.0,1.0,,,,,,,,,
