atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FC,scout_FS,scout_I,scout_SG,scout_DE,scout_GS,scout_V,scout_FD,scout_A,scout_FF,scout_CA,scout_FT,scout_G
100898,Vitinho,BOT,Lateral,1.6,True,1.0,1.0,1.0,1.0,,,,,,,,,,
101002,Júnior Santos,BOT,Atacante,0.0,True,,,,,,,,,,,,,,
101352,Bruno Matias,CHA,Meia,1.5,True,1.0,,,,,,,,,,,,,
101393,Eduardo Doma,CHA,Zagueiro,3.0,True,2.0,,,,,,,,,,,,,
101908,Willian Machado,MIR,Zagueiro,7.4,True,2.0,2.0,,,1.0,,,,,,,,,
102906,Anderson,CHA,Goleiro,9.9,True,,,1.0,,,8.0,1.0,,,,,,,
103967,Bruno Santos,MIR,Atacante,0.2,True,,1.0,1.0,,,,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,7.55,True,,,,,,,,1.0,,,,,,
104204,Edson Carioca,MIR,Atacante,3.9,True,2.0,1.0,,,,,,,1.0,,,,,
104519,Camilo,CHA,Meia,-0.3,True,,1.0,,,,,,,,,,,,
105300,Ferraresi,BOT,Zagueiro,1.5,True,1.0,,,,,,,,,,,,,
106147,Thiago Carpini,REM,Técnico,0.0,False,,,,,,,,,,,,,,
106708,Igor Formiga,MIR,Lateral,14.7,True,2.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,
106907,Rafael Lacerda,CHA,Técnico,5.25,True,,,,,,,,,,,,,,
106950,Fernando,CHA,Lateral,-1.3,True,,1.0,,,,,,,,,,1.0,,
107231,Danilo,BOT,Meia,0.0,True,,,,,,,,,,,,,,
107554,Natanael,CAM,Lateral,11.9,True,6.0,1.0,,,,,,,2.0,,1.0,,,
108131,Garcez,CHA,Atacante,4.1,True,1.0,,2.0,,,,,,,,2.0,,,
109987,Medina,BOT,Meia,6.0,True,2.0,,2.0,,,,,,1.0,,1.0,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,,
114040,Minda,CAM,Atacante,4.0,True,1.0,,1.0,,,,,,1.0,,1.0,,,
114801,Danilo Pereira,BOT,Atacante,0.5,True,,,1.0,,,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,0.0,False,,,,,,,,,,,,,,
115674,Gabriel Delfim,CAM,Goleiro,-1.0,True,,,,,,,1.0,,,,,,,
115986,Denilson,MIR,Meia,3.0,True,2.0,,,,,,,,,,,,,
118774,Alexsander,CAM,Meia,3.4,True,1.0,,,1.0,,,,,,,,1.0,1.0,
122121,Túlio Eduardo,CHA,Atacante,8.2,True,,2.0,,,,,,,,,1.0,,,1.0
124483,Lucas Monzón,BOT,Zagueiro,2.0,True,1.0,,1.0,,,,,,,,,,,
124961,Castaño,CAM,Meia,0.0,True,,,,,,,,,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,,,,
130806,Kauan,CHA,Zagueiro,1.4,True,1.0,2.0,1.0,,,,,,,,,,,
140438,David,CHA,Meia,0.0,True,,,,,,,,,,,,,,
141131,Vitão,CAM,Zagueiro,4.7,True,4.0,1.0,,,,,,,,,,1.0,,
141400,Huguinho,BOT,Meia,0.2,True,1.0,1.0,,,,,,,,,,1.0,,
142890,Montoro,BOT,Meia,1.5,True,1.0,,,,,,,,,,,,,
147090,Kauã Pascini,CAM,Lateral,0.9,True,,1.0,,,,,,,1.0,,,,,
151600,Miguel Carvalho,CHA,Meia,3.0,True,2.0,,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,,,
41929,Renato Gaúcho,GRE,Técnico,0.0,False,,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,,,
45125,Tite,BOT,Técnico,1.81,True,,,,,,,,,,,,,,
51413,Walter,MIR,Goleiro,8.9,True,,,,,1.0,3.0,,,,,,,,
63289,Edenílson,BOT,Meia,0.0,True,,,,,,,,,,,,,,
68708,Eduardo,MIR,Meia,18.3,True,1.0,,,,,,,,,,1.0,,,2.0
68920,Dudu,CAM,Atacante,1.2,True,,,,,,,,,1.0,,,,,
68938,Giovanni Augusto,CHA,Meia,5.5,True,3.0,1.0,1.0,,,,,,,,1.0,,,
