abr_casa,abr_vis,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,forca_casa,forca_vis,commence_time
REM,VAS,2.95,2.35,3.35,0.319,0.4,zebra,equilibrado,2026-04-11T19:30:00Z
VIT,SAO,3.05,2.4,3.15,0.309,0.392,zebra,equilibrado,2026-04-11T19:30:00Z
MIR,BAH,2.3,3.0,3.35,0.408,0.313,equilibrado,zebra,2026-04-11T21:30:00Z
FLU,FLA,2.8,2.55,3.15,0.335,0.368,zebra,zebra,2026-04-11T21:30:00Z
SAN,CAM,2.08,3.45,3.4,0.452,0.272,equilibrado,zebra,2026-04-11T23:00:00Z
INT,GRE,2.08,3.55,3.35,0.453,0.266,equilibrado,zebra,2026-04-11T23:30:00Z
CAP,CHA,1.51,5.75,4.0,0.61,0.16,favorito,zebra,2026-04-12T14:00:00Z
BOT,CFC,1.73,4.9,3.55,0.543,0.192,favorito,zebra,2026-04-12T19:00:00Z
CRU,RBB,1.7,4.6,3.65,0.545,0.201,favorito,zebra,2026-04-12T21:30:00Z
COR,PAL,2.7,2.6,3.25,0.349,0.362,zebra,zebra,2026-04-12T21:30:00Z
