abr_casa,abr_vis,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,prob_over_25,forca_casa,forca_vis,commence_time
GRE,SAO,2.25,2.8,3.15,0.397,0.319,,equilibrado,zebra,2026-08-08T19:00:00Z
REM,CAM,2.9,2.38,3.0,0.314,0.383,0.464,zebra,equilibrado,2026-08-08T21:30:00Z
CFC,CHA,1.56,4.6,3.6,0.564,0.191,,favorito,zebra,2026-08-08T23:30:00Z
BOT,FLU,2.65,2.91,3.1,0.362,0.329,0.491,zebra,zebra,2026-08-09T00:00:00Z
CRU,MIR,1.58,4.5,3.5,0.555,0.195,,favorito,zebra,2026-08-09T14:00:00Z
BAH,VAS,1.82,3.55,3.45,0.49,0.251,,favorito,zebra,2026-08-09T19:00:00Z
PAL,INT,1.52,5.1,3.75,0.587,0.175,,favorito,zebra,2026-08-09T19:00:00Z
SAN,CAP,2.0,3.1,3.1,0.437,0.282,,equilibrado,zebra,2026-08-09T21:30:00Z
RBB,COR,2.15,3.4,3.4,0.442,0.279,0.439,equilibrado,zebra,2026-08-09T21:30:00Z
FLA,VIT,1.18,9.0,5.4,0.741,0.097,,favorito_forte,zebra,2026-08-09T22:30:00Z
CAM,GRE,1.75,4.5,3.3,0.521,0.203,0.467,favorito,zebra,2026-08-15T19:30:00Z
FLU,PAL,2.85,2.6,3.2,0.335,0.367,,zebra,zebra,2026-08-15T19:30:00Z
CAP,RBB,2.05,3.5,3.1,0.445,0.261,0.434,equilibrado,zebra,2026-08-15T21:30:00Z
SAO,CFC,1.68,5.25,3.75,0.566,0.181,0.464,favorito,zebra,2026-08-16T00:00:00Z
CHA,BAH,3.2,1.91,3.2,0.272,0.456,,zebra,favorito,2026-08-16T14:00:00Z
VAS,SAN,2.0,3.75,3.5,0.475,0.253,0.47,equilibrado,zebra,2026-08-16T19:00:00Z
VIT,BOT,2.08,2.83,3.05,0.414,0.304,,equilibrado,zebra,2026-08-16T21:30:00Z
MIR,FLA,3.8,1.91,3.25,0.24,0.478,0.443,zebra,favorito,2026-08-16T21:30:00Z
COR,CRU,2.05,2.93,3.02,0.42,0.294,,equilibrado,zebra,2026-08-16T22:30:00Z
INT,REM,1.49,4.85,3.53,0.578,0.178,,favorito_forte,zebra,2026-08-17T23:00:00Z
